PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2003-11-22.13,C/2003 W4 SOHO-692,D. Evans,C2,0.0052,8356
2003-05-24.94,C/2003 K9 SOHO-616,D. Evans,C2,0.0054,8309
2003-05-24.38,C/2003 K13 SOHO-640,D. Evans,C2,0.0057,8333
2003-03-04.78,C/2003 E2 SOHO-589,D. Evans,C3,0.0049,8283
2003-02-09.93,C/2003 C2 SOHO-584,D. Evans,C2 C3,0.0047,8276 8278
2002-11-23.70,C/2002 W9 SOHO-553,D. Evans,C2 C3,0.0051,8263
2002-11-22.30,C/2002 W7 SOHO-551,D. Evans,C2 C3,0.0076,8106
2002-11-09.69,C/2002 V3 SOHO-539,D. Evans,C2 C3,0.0051,8073
2002-09-22.04,C/2002 S8 SOHO-523,D. Evans,C2 C3,0.0053,7991
2002-09-14.08,C/2002 R6 SOHO-514,D. Evans,C3,0.0051,7984
2002-08-30.17,C/2002 Q14 SOHO-506,D. Evans,C3,0.0077,7969
2002-08-27.73,C/2002 Q13 SOHO-510,D. Evans,C3,0.0054,7969
2002-08-19.14,C/2002 Q12 SOHO-509,D. Evans,C3,0.0050,7969
2002-06-16.84,C/2002 M8 SOHO-492,D. Evans,C2,0.0057,7948
2002-06-14.16,C/2002 L7 SOHO-462,D. Evans,C2,0.0051,7930
2002-05-31.44,C/2002 K10 SOHO-496,D. Evans,C2,0.0053,7951
2002-05-27.08,C/2002 K11 SOHO-827,D. Evans,C2,0.0050,8398
2002-04-24.37,C/2002 H7 SOHO-493,D. Evans,C2,0.0058,7948
