PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2002-02-11.66,C/2002 C4 SOHO-390,T. Hoffman,C3,0.0054,7839
2002-06-28.43,C/2002 M5 SOHO-474,T. Hoffman,C2,0.0051,7935
2002-12-03.54,C/2002 X13 SOHO-564,T. Hoffman,C2 C3,0.0050,8266
2003-04-29.37,C/2003 H10 SOHO-600,T. Hoffman,C2,0.0050,8291
2003-05-29.59,C/2003 K12 SOHO-620,T. Hoffman,C2,0.0091,8327
2003-08-06.41,C/2003 P3 SOHO-650,T. Hoffman,C3,0.0050,8339
2003-11-09.93,C/2003 V6 SOHO-688,T. Hoffman,C2,0.0050,8354
2003-12-01.57,C/2003 X1 SOHO-698,T. Hoffman,C2,0.0048,8356
2003-12-08.68,C/2003 X8 SOHO-705,T. Hoffman,C2,0.0050,8357
2005-01-01.64,C/2004 Y12 SOHO-896,T. Hoffman,C2 C3,0.0050,
