PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
2013,C/2013 SOHO-2548 ,K.Kida ,C2 C3 
2013,C/2013 SOHO-2463 ,K.Kida ,C3 
-2012,C/2012 SOHO-2396,K.Kida,C2
-2012,C/2012 SOHO-2389,K.Kida/W.Gu,C2 C3
-2012,C/2012 SOHO-2372,K.Kida,C2 C3
-2012,C/2012 SOHO-2330*,K.Kida,C3
-2012,C/2012 SOHO-2318,K.Kida/S.Schmalz,C2
-2012,C/2012 SOHO-2314,K.Kida,C2
-2012,C/2012 SOHO-2305,K.Kida,C2
-2012,C/2012 SOHO-2293,K.Kida,C2
-2012,C/2012 SOHO-2290,K.Kida,C2
-2012,C/2012 SOHO-2250,K.Kida/S.Schmalz,C2 C3
-2012,C/2012 SOHO-2243,K.Kida,C3
-2012,C/2012 SOHO-2240,K.Kida,C3
-2012,C/2012 SOHO-2228,K.Kida,C3
