PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
-2011,C/2011 SOHO-2015,R.Kracht,C2,  ,
-2010,C/2010 SOHO-1846,R.Kracht,C2,  ,
-2010,C/2010 SOHO-1955,R.Kracht,C2,  ,
-2010,C/2010 SOHO-1982,R.Kracht,C2,  ,
2009-12-05.07,C/2009 X07 SOHO-1754,R.Kracht,C2,0.0051,
2009-06-25.19,C/2009 M04 SOHO-1678,R.Kracht,C2 C3,0.0052,
2009-06-05.32,C/2009 L05 SOHO-1662,R.Kracht,C2,0.0047,
2009-06-04.23,C/2009 L03 SOHO-1660,R.Kracht,C2,0.0047,
2009-05-11.75,C/2009 J10 SOHO-1649,R.Kracht,C2,0.0054,
2009-05-07.00,C/2009 J06 SOHO-1645,R.Kracht,C2 C3,0.0078,
2009-04-24.62,C/2009 H07 SOHO-1636,R.Kracht,C2,0.0050,
2008-12-11.16,C/2008 X13 SOHO-1584,R.Kracht,C2,0.0050,
2008-12-04.33,C/2008 X10 SOHO-1579,R.Kracht,C2,0.0051,
2008-11-28.02,C/2008 W09 SOHO-1572,R.Kracht,C2,0.0052,
2008-10-27.83,C/2008 U14 SOHO-1555,R.Kracht,C2,0.0051,
2008-10-21.25,C/2008 U07 SOHO-1549,R.Kracht,C2 C3,0.0066,
2008-10-14.72,C/2008 T12 SOHO-1543,R.Kracht,C2,0.0078,
2008-09-09.27,C/2008 R10 SOHO-1527,R.Kracht,C2 C3,0.0049,
2008-07-04.24,C/2008 N03 SOHO-1504,R.Kracht,C2,0.0049,
2008-05-12.50,C/2008 J13 SOHO-1469,R.Kracht,C2,0.0089,
2007-12-12.95,C/2007 X11 SOHO-1416,R.Kracht&H.Su,C2,0.0051,
2007-12-05.16,C/2007 X03 SOHO-1408,R.Kracht,C2,0.0064,
2007-11-29.80,C/2007 W11 SOHO-1404,R.Kracht,C2,0.0068,
2007-11-23.12,C/2007 W06 SOHO-1399,R.Kracht,C2,0.0049,
2007-11-15.01,C/2007 V14 SOHO-1396,R.Kracht,C2,0.0057,
2007-11-13.80,C/2007 V13 SOHO-1395,R.Kracht,C2,0.0057,
2007-11-06.01,C/2007 V07 SOHO-1389,R.Kracht,C2,0.0051,
2007-11-03.90,C/2007 V05 SOHO-1387,R.Kracht,C2,0.0050,
2007-05-28.70,C/2007 K19 SOHO-1315,R.Kracht,C2,0.0085,
2007-05-22.75,C/2007 K16 SOHO-1312,R.Kracht,C2,0.0059,
2007-04-21.11,C/2007 H05 SOHO-1282,R.Kracht,C2,0.0051,
2006-12-28.82,C/2006 Y14 SOHO-1248,R.Kracht,C2,0.0049,
2006-12-22.23,C/2006 Y7 SOHO-1242,R.Kracht,C2,0.0051,
2006-12-20.41,C/2006 Y4 SOHO-1239,R.Kracht,C2,0.0050,
2006-12-09.52,C/2006 X2 SOHO-1228,R.Kracht,C2,0.0055,
2006-11-25.87,C/2006 W7 SOHO-1226,R.Kracht,C2,0.0055,
2006-11-12.26,C/2006 V8 SOHO-1221,R.Kracht,C2,0.0063,
2006-01-22.99,C/2006 B3 SOHO-1091,R.Kracht,C3,0.0052,
2005-12-25.41,C/2005 Y7 SOHO-1077,R.Kracht,C2 C3,0.0080,
2005-04-25.38,C/2005 H6 SOHO-947,R.Kracht,C2,0.0049,
2004-11-20.42,C/2004 W3 SOHO-867,R.Kracht,C2 C3,0.0070, 
2004-10-21.92,C/2004 U6 SOHO-849,R.Kracht,C2,0.0052, 
2004-10-06.40,C/2004 T5 SOHO-841,R.Kracht,C2 C3,0.0048, 
2004-06-18.52,C/2004 M1 SOHO-803,R.Kracht,C2 C3,0.0049,8380
2004-06-10.19,C/2004 L7 SOHO-799,R.Kracht,C2 C3,0.0075,8380
2004-06-09.99,C/2004 L6 SOHO-798,R.Kracht,C2,0.0049,8380
2004-05-31.19,C/2004 K12 SOHO-794,R.Kracht,C2 C3,0.0049,8367
2004-05-18.86,C/2004 K4 SOHO-784,R.Kracht,C2,0.0050,8367
2004-05-13.21,C/2004 J11 SOHO-776,R.Kracht,C2,0.0050,8366
2004-05-11.16,C/2004 J9 SOHO-773,R.Kracht,C2,0.0054,8366
2004-04-19.23,C/2004 H7 SOHO-761,R.Kracht,C2,0.0052,8366
2004-04-12.16,C/2004 G6 SOHO-756,R.Kracht,C2,0.0051,8366
2004-03-18.25,C/2004 F5 SOHO-749,R.Kracht,C3/C2,0.0050,8365
2004-03-15.55,C/2004 E3 SOHO-747,R.Kracht,C3,0.0050,8365
2004-02-14.29,C/2004 C7 SOHO-740,R.Kracht,C3,0.0049,8365
2004-02-04.70,C/2004 C3 SOHO-734,R.Kracht,C3,0.0050,8365
2003-02-08.76,C/2003 C6 SOHO-1227,R.Kracht,C3,0.0051, 
