PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
-2011,C/2011 SOHO-2014,M.Kusiak,C2 C3,  
-2011,C/2011 SOHO-2016,M.Kusiak,C3,  
-2011,C/2011 SOHO-2018,M.Kusiak,C3,  
-2011,C/2011 SOHO-2044,M.Kusiak,C2,  
-2011,C/2011 SOHO-2051,M.Kusiak,C2,  
-2011,C/2011 SOHO-2057,M.Kusiak,C2,  
-2011,C/2011 SOHO-2063,M.Kusiak,C2,  
-2011,C/2011 SOHO-2081,M.Kusiak,C2,  
-2011,C/2011 SOHO-2082,M.Kusiak,C2,  
-2011,C/2011 SOHO-2090,M.Kusiak,C2,  
-2011,C/2011 SOHO-2091,M.Kusiak,C2,  
-2011,C/2011 SOHO-2094,M.Kusiak,C2,  
-2011,C/2011 SOHO-2100,M.Kusiak,C2,  
-2011,C/2011 SOHO-2127,M.Kusiak,C3,  
-2011,C/2011 SOHO-2133,M.Kusiak,C3,  
-2011,C/2011 SOHO-2144,M.Kusiak,C2,  
-2011,C/2011 SOHO-2149,M.Kusiak,C3,  
-2011,C/2011 SOHO-2155,M.Kusiak,C2 C3,  
-2011,C/2011 SOHO-2157,M.Kusiak,C2 C3,  
-2011,C/2011 SOHO-2161,M.Kusiak,C2,  
-2011,C/2011 SOHO-2162,M.Kusiak,C2,  
-2011,C/2011 SOHO-2167,M.Kusiak,C2,  
-2011,C/2011 SOHO-2168,M.Kusiak,C2,  
-2011,C/2011 SOHO-2171,M.Kusiak,C2,  
-2011,C/2011 SOHO-2178,M.Kusiak,C2,  
-2011,C/2011 SOHO-2188,M.Kusiak,C2,  
-2011,C/2011 SOHO-2189,M.Kusiak,C2,  
-2011,C/2011 SOHO-2209,M.Kusiak,C2 C3,  
-2011,C/2011 SOHO-2135,M.Kusiak/Z.Xu,C3,  
-2011,C/2011 SOHO-2073,M.Kusiak/Z.Xu/M.Uchina,C2,  
-2010,C/2010 SOHO-1809,M.Kusiak,C3,  
-2010,C/2010 SOHO-1822,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1823,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1838,M.Kusiak,C2,  
-2010,C/2010 SOHO-1845,M.Kusiak,C2,  
-2010,C/2010 SOHO-1855,M.Kusiak,C2,  
-2010,C/2010 SOHO-1857,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1859,M.Kusiak,C2,  
-2010,C/2010 SOHO-1861,M.Kusiak,C2,  
-2010,C/2010 SOHO-1862,M.Kusiak,C2,  
-2010,C/2010 SOHO-1864,M.Kusiak,C2,  
-2010,C/2010 SOHO-1865,M.Kusiak,C2,  
-2010,C/2010 SOHO-1868,M.Kusiak,C2,  
-2010,C/2010 SOHO-1869,M.Kusiak,C2,  
-2010,C/2010 SOHO-1870,M.Kusiak,C2,  
-2010,C/2010 SOHO-1874,M.Kusiak,C2,  
-2010,C/2010 SOHO-1878,M.Kusiak,C2,  
-2010,C/2010 SOHO-1893,M.Kusiak,C2,  
-2010,C/2010 SOHO-1895,M.Kusiak,C3,  
-2010,C/2010 SOHO-1898,M.Kusiak,C3,  
-2010,C/2010 SOHO-1910,M.Kusiak,C3,  
-2010,C/2010 SOHO-1911,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1916,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1918,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1920,M.Kusiak,C2 C3,  
-2010,C/2010 SOHO-1929,M.Kusiak,C2,  
-2010,C/2010 SOHO-1939,M.Kusiak,C2,  
-2010,C/2010 SOHO-1940,M.Kusiak,C2,  
-2010,C/2010 SOHO-1941,M.Kusiak,C2,  
