PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
1996-01-21.93,C/1996 B4 SOHO-351,X. Leprette,C3,0.0050,7726
1996-01-29.92,C/1996 B5 SOHO-352,X. Leprette,C3,0.0050,7730
1996-06-11.40,C/1996 L1 SOHO-300,X. Leprette,C2,0.0050,7606
1996-06-14.35,C/1996 L2 SOHO-817,X. Leprette,C3,0.0053,8380
1996-06-21.15,C/1996 M3 SOHO-818,X. Leprette,C3,0.0065,8380
1996-11-08.93,C/1996 V1 SOHO-368,X. Leprette,C3,0.0078,7760
1996-12-30.66,C/1996 Y2 SOHO-381,X. Leprette,C2 C3,0.0056,7807
1997-03-05.97,C/1997 E2 SOHO-903,X. Leprette,C3,0.0050, 
1997-06-12.55,C/1997 L5 SOHO-180,X. Leprette,C2,0.0080,7472
1997-06-18.07,C/1997 M4 SOHO-190,X. Leprette,C2,0.0063,7480
1997-06-20.00,C/1997 M5 SOHO-299,X. Leprette,C2,0.0059,7606
1997-06-28.94,C/1997 M3 SOHO-184,X. Leprette,C2,0.0056,7472
1997-07-04.94,C/1997 N3 SOHO-199,X. Leprette,C2,0.0059,7480
1997-09-24.75,C/1997 S3 SOHO-274,X. Leprette,C2,0.0053,7560
1997-10-08.66,C/1997 T7 SOHO-219,X. Leprette,C2,0.0051,7517
1997-11-25.22,C/1997 W3 SOHO-334,X. Leprette,C2,0.0073,7650
1997-12-03.40,C/1997 X3 SOHO-233,X. Leprette,C2,0.0055,7534
1997-12-03.47,C/1997 X4 SOHO-234,X. Leprette,C2,0.0054,7534
1997-12-06.74,C/1997 X5 SOHO-235,X. Leprette,C2,0.0058,7534
1997-12-10.77,C/1997 X6 SOHO-237,X. Leprette,C2,0.0066,7534
1997-12-21.20,C/1997 Y1 SOHO-239,X. Leprette,C2,0.0054,7534
1997-12-21.72,C/1997 Y2 SOHO-240,X. Leprette,C2,0.0054,7536
1997-12-23.21,C/1997 Y3 SOHO-241,X. Leprette,C2,0.0066,7536
1998-10-29.66,C/1998 U6 SOHO-272,X. Leprette,C2,0.0054,7565
1998-11-02.97,C/1998 V5 SOHO-264,X. Leprette,C2,0.0067,7565
1998-11-03.01,C/1998 V6 SOHO-265,X. Leprette,C2,0.0079,7565
1998-11-07.68,C/1998 V2 SOHO-252,X. Leprette,C2,0.0053,7558
1998-11-07.71,C/1998 V3 SOHO-253,X. Leprette,C2,0.0055,7558
1998-11-08.64,C/1998 V9 SOHO-438,X. Leprette,C2,0.0072,7916
1998-11-09.53,C/1998 V4 SOHO-261,X. Leprette,C2,0.0050,7558
1998-11-24.59,C/1998 W4 SOHO-256,X. Leprette,C2,0.0057,7558
1998-11-25.19,C/1998 W5 SOHO-257,X. Leprette,C2,0.0082,7558
1998-11-26.00,C/1998 W6 SOHO-260,X. Leprette,C2,0.0064,7558
