PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
2006-10-10.33,C/2006 T06 SOHO-1199,B. Zhou,C3 C2
2007-06-25.53,C/2007 M05 SOHO-1331,B.Zhou,C2
2008-07-19.45,C/2008 O07 SOHO-1515,B.Zhou,C2
2009-04-14.24,C/2009 G08 SOHO-1631,B.Zhou,C2
2009-07-03.12,C/2009 N01 SOHO-1683,B.Zhou,C3 C2
2009-07-05.28,C/2009 N03 SOHO-1685,B.Zhou,C2
-2011,C/2011 SOHO-2022,B.Zhou,C3 C2
-2012,C/2012 SOHO-XC77,B.Zhou,C3
-2012,C/2012 SOHO-2291,B.Zhou,C3
-2012,C/2012 SOHO-2313,B.Zhou,C3 C2
2012,C/2012 SOHO-2438,B.Zhou,C3 C2
2013,C/2013 SOHO-2464,B.Zhou,C2
2013,C/2013 SOHO-2605,B.Zhou,C3 C2
2014,C/2014 SOHO-2775,B.Zhou,C2
2014,C/2015 SOHO-2959,B.Zhou,C3 C2
2015,C/2015 SOHO-2985,B.Zhou,C2
2015,C/2015 SOHO-3003,B.Zhou,C3 C2
2015,C/2015 SOHO-3014,B.Zhou,C2
