ID,Discoverer,comets
14,Kracht R,28
40,Zhou B,18
2,Berrett P,12
34,Su H,11
4,Boonplod W,9
38,Xu Z,9
22,Mattiazzo M,5
11,Hoffman T,3
26,Otterstedt H,3
27,Ruan J,3
32,Shurpakov S,3
37,Uchina M,3
41,Zhou X,3
1,Battams K,2
6,Cernis K,2
8,Danaher J,2
16,Kusiak M,2
17,Leprette X,2
19,Liwo S,2
20,Makkinen T,2
21,Matson R,2
25,Oates M,2
28,Sachs J,2
30,Scarmato T,2
33,Stezelberger S,2
36,Tan H,2
3,Bezugly V,1
5,Cane L,1
7,Chen D,1
9,Farmer S Jr,1
10,Hoenig S,1
12,Jager M,1
13,Kida K,1
15,Kubczak A,1
18,Liu L,1
23,Maysonet P,1
24,Meyer M,1
29,Sato H,1
31,Schenk K,1
35,Suzuki M,1
39,Yang Z,1
