ID,Discoverer,comets
1,Battams K,2
2,Berrett P,12
3,Bezugly V,1
4,Boonplod W,9
5,Cane L,1
6,Cernis K,2
7,Chen D,1
8,Danaher J,2
9,Farmer S Jr,1
10,Hoenig S,1
11,Hoffman T,3
12,Jager M,1
13,Kida K,1
14,Kracht R,28
15,Kubczak A,1
16,Kusiak M,2
17,Leprette X,2
18,Liu L,1
19,Liwo S,2
20,Makkinen T,2
21,Matson R,2
22,Mattiazzo M,5
23,Maysonet P,1
24,Meyer M,1
25,Oates M,2
26,Otterstedt H,3
27,Ruan J,3
28,Sachs J,2
29,Sato H,1
30,Scarmato T,2
31,Schenk K,1
32,Shurpakov S,3
33,Stezelberger S,2
34,Su H,11
35,Suzuki M,1
36,Tan H,2
37,Uchina M,3
38,Xu Z,9
39,Yang Z,1
40,Zhou B,18
41,Zhou X,3
