PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
1996-12-06.17,C/1996 X3 SOHO-1080,R. Kracht,C2 C3,0.0426,
1996-12-06.28,C/1996 X4 SOHO-1081,R. Kracht,C2 C3,0.0492,
1996-12-06.33,C/1996 X5 SOHO-1082,R. Kracht,C2,0.0490,
1999-06-30.70,C/1999 M3 SOHO-402,R. Kracht,C2,0.0441,7853 7854
1999-07-12.30,C/1999 N6 SOHO-409,R. Kracht,C2,0.0435,7854
2001-08-21.80,C/2001 Q7 SOHO-345,R. Kracht,C2,0.0445,7718
2001-08-24.81,C/2001 Q8 SOHO-485,R. Kracht,C2,0.0451,7952
2001-09-06.67,C/2001 R8 SOHO-487,R. Kracht,C2,0.0437,7952
2001-09-07.32,C/2001 R9 SOHO-488,R. Kracht,C2,0.0472,7952
2002-07-11.92,C/2002 N2 SOHO-501,R. Kracht,C2,0.0490,7956
2002-08-27.50,C/2002 Q10 SOHO-505,R. Kracht,C2,0.0484,7969
2002-09-19.33,C/2002 S5 SOHO-520,R. Kracht,C2,0.0467,7984 7986
2004-05-05.33,C/2004 J4 SOHO-770,R. Kracht,C2,0.0417,8366
2004-05-12.91,C/2004 J12 SOHO-777,R. Kracht,C2,0.0398,8366
2004-05-13.85,C/2004 J13 SOHO-779,R. Kracht,C2,0.0441,8366
2004-05-14.75,C/2004 J15 SOHO-780,R. Kracht,C2,0.0438,8366
2004-05-15.55,C/2004 J17 SOHO-782,R. Kracht,C2,0.0356,8367
2004-05-15.69,C/2004 J18 SOHO-783,R. Kracht,C2,0.0461,8367
2004-06-14.10,C/2004 L10 SOHO-802,R. Kracht,C2,0.0431,8380
2008-09-06.60,C/2008 R07 SOHO-1526,R.Kracht,C2 C3,0.0479,
2009-06-09.16,C/2009 L13 SOHO-1668,R.Kracht,C2,0.0438,
-2009,C/2009 SOHO-1770,R.Kracht,C2,,
2011,C/2011 SOHO-2033,R.Kracht,C3/C2,,
