PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
1997-01-29.61,C/1997 B6 SOHO-1084,R .Kracht,C2,0.0501,
1996-11-11.78,C/1996 V2 SOHO-930,R. Kracht,C3,0.0488,
1997-01-29.51,C/1997 B5 SOHO-1083,R. Kracht,C2,0.0512,
1997-01-29.65,C/1997 B7 SOHO-1085,R. Kracht,C2,0.0490,
1998-01-03.74,C/1998 A2 SOHO-404,R. Kracht,C2,0.0410,7853
1998-01-10.79,C/1998 A4 SOHO-406,R. Kracht,C2,0.0431,7863
1998-01-09.30,C/1998 A3 SOHO-407,R. Kracht,C2,0.0419,7853
1999-07-11.24,C/1999 N5 SOHO-408,R. Kracht,C2 C3,0.0496,7854
1999-08-05.11,C/1999 P6 SOHO-411,R. Kracht,C2,0.0494,7863
1999-08-14.99,C/1999 P8 SOHO-413,R. Kracht,C2,0.0494,7863
1999-08-15.04,C/1999 P9 SOHO-414,R. Kracht,C2,0.0493,7863
2000-02-04.48,C/2000 C7 SOHO-441,R. Kracht,C2,0.0481,7919 7958
2002-09-02.54,C/2002 R1 SOHO-511,R. Kracht,C2,0.0492,7969
2002-09-03.30,C/2002 R4 SOHO-512,R. Kracht,C2,0.0520,7984
2003-08-25.14,C/2003 Q6 SOHO-656,R. Kracht,C2,0.0494,8339 MPEC 2008-Y06
2004-11-29.26,C/2004 W10 SOHO-873,R. Kracht,C2,0.0467,
2005-03-10.54,C/2005 E4 SOHO-915,R. Kracht,C2 C3,0.0487,
