PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
1996-07-03.85,C/1996 N3 SOHO-931,R. Kracht,C2 C3,0.0351,
1997-04-08.97,C/1997 G7 SOHO-389,R. Kracht,C2,0.0351,7841
1997-04-21.36,C/1997 H4 SOHO-391,R. Kracht,C2 C3,0.0356,7841
1997-04-29.27,C/1997 H5 SOHO-392,R. Kracht,C2,0.0371,7841
1997-07-25.48,C/1997 O2 SOHO-464,R. Kracht,C2,0.0356,7931
1997-10-19.98,C/1997 U8 SOHO-468,R. Kracht,C2,0.0310,7931
1997-10-23.18,C/1997 U9 SOHO-471,R. Kracht,C2,0.0402,7931
1997-12-15.55,C/1997 X7 SOHO-1108,R. Kracht,C2,0.0346,
1998-04-12.04,C/1998 G9 SOHO-1102,R. Kracht,C2,0.0370,
1998-11-03.41,C/1998 V8 SOHO-437,R. Kracht,C2,0.0363,7916
1998-11-28.25,C/1998 W7 SOHO-439,R. Kracht,C2 C3,0.0362,7916
1999-03-17.38,C/1999 F3 SOHO-424,R. Kracht,C2 C3,0.0363,7898
1999-05-26.65,C/1999 K16 SOHO-399,R. Kracht,C2,0.0339,7842
1999-06-09.45,C/1999 L9 SOHO-401,R. Kracht,C2,0.0380,7842
1999-08-13.16,C/1999 P7 SOHO-412,R. Kracht,C2,0.0372,7863
2000-05-06.42,C/2000 J8 SOHO-433,R. Kracht,C2,0.0367,7899
2000-07-04.80,C/2000 N4 SOHO-434,R. Kracht,C2,0.0351,7899
2000-12-03.75,C/2000 X9 SOHO-459,R. Kracht,C2,0.0386,7919
2001-02-11.67,C/2001 C7 SOHO-477,R. Kracht,C2,0.0350,7936
2001-05-16.85,C/2001 K11 SOHO-481,R. Kracht,C2,0.0339,7952
2001-11-02.48,C/2001 V6 SOHO-490,R. Kracht,C2,0.0374,7952
2002-01-01.34,C/2002 A4 SOHO-421,R. Kracht,C2,0.0366,7875
2002-04-20.97,C/2002 H8 SOHO-498,R. Kracht,C2,0.0336,7951
2002-08-12.67,C/2002 P3 SOHO-500,R. Kracht,C2,0.0359,7956
2002-09-15.75,C/2002 R8 SOHO-516,R. Kracht,C2,0.0343,7984
2002-10-28.27,C/2002 U6 SOHO-535,R. Kracht,C2,0.0359,8025 8026
2002-11-09.72,C/2002 V4 SOHO-540,R. Kracht,C2,0.0357,8073
2002-12-02.44,C/2002 X6 SOHO-563,R. Kracht,C2,0.0346,8073
2003-04-27.48,C/2003 H5 SOHO-599,R. Kracht,C2,0.0351,8178
2004-01-29.11,C/2004 B2 SOHO-736,R. Kracht,C2,0.0353,8336
2004-04-16.86,C/2004 H4 SOHO-760,R. Kracht,C2,0.0343,8336
2004-10-09.10,C/2004 T2 SOHO-843,R. Kracht,C2,0.0346,
2005-05-16.37,C/2005 K4 SOHO-961,R. Kracht,C2,0.0373,
2005-05-28.22,C/2005 K9 SOHO-968,R. Kracht,C2,0.0354,
2005-12-25.13,C/2005 Y8 SOHO-1076,R. Kracht,C2,0.0338,
2006-12-15.61,C/2006 X10 SOHO-1236,R. Kracht,C2,0.0382,
2007-05-02.95,C/2007 J01 SOHO-1287,R.Kracht,C2 C3,0.0348,
2007-12-28.18,C/2007 Y08 SOHO-1426,R.Kracht,C2,0.0344,
2008-03-20.01,C/2008 F01 SOHO-1450,R.Kracht,C2,0.0318,
2008-04-18.52,C/2008 H04 SOHO-1457,R.Kracht,C2,0.0373,
2008-06-15.94,C/2008 L15 SOHO-1495,R.Kracht,C2,0.0365,
2008-11-04.82,C/2008 V02 SOHO-1560,R.Kracht,C2,0.0384,
2008-12-07.59,C/2008 X05 SOHO-1581,R.Kracht,C2,0.0342,
2009-02-24.92,C/2009 D06 SOHO-1615,R.Kracht,C2,0.0351,
-2010,C/2010 SOHO-1870,R.Kracht,C2,,
-2010,C/2010 SOHO-1896,R.Kracht,C2,,
-2010,C/2010 SOHO-1952,R.Kracht,C2,,
2011,C/2011 SOHO-2080,R.Kracht,C2,,
