PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2011,C/2011 SOHO-2059,Z.Xu,C2,,
2011,C/2011 SOHO-2114,Z.Xu,C2,,
2012,C/2012 SOHO-2231,Z.Xu,C2 C3,,
2012,C/2012 SOHO-2341,Z.Xu,C2 C3,,
2012,C/2012 SOHO-2363,Z.Xu,C2 C3,,
2012,C/2012 SOHO-2386,Z.Xu,C2,,
2012,C/2012 SOHO-2415,Z.Xu,C2,,
2012,C/2012 SOHO-2421,Z.Xu,C2,,
2012,C/2012 SOHO-2428,Z.Xu,C2,,
2013,C/2013 SOHO-2479,Z.Xu,C2 C3,,
2013,C/2013 SOHO-2540,Z.Xu,C2,,
2013,C/2013 SOHO-2588,Z.Xu,C2,,
2013,C/2013 SOHO-2592,Z.Xu,C2,,
2014,C/2014 SOHO-2659,Z.Xu,C2,,
2014,C/2014 SOHO-2667,Z.Xu,C2,,
2014,C/2014 SOHO-2746,Z.Xu,C2,,
2014,C/2014 SOHO-2782,Z.Xu,C2,,
2014,C/2014 SOHO-2787,Z.Xu,C2,,
2014,C/2014 SOHO-2820,Z.Xu,C2,,
2015,C/2015 SOHO-2868,Z.Xu,C2 C3,,
2015,C/2015 SOHO-2911,Z.Xu,C2,,
2012,C/2013 SOHO-2355,S.Liwo and Z.Xu,C2,,
2009-01-29.40,C/2009 B10 SOHO-1605,Z.Xu,C2,0.0355,
