PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2005-01-30.81,C/2005 B4 SOHO-904,B. Zhou,C2,0.0353,
2005-04-29.03,C/2005 H9 SOHO-950,B. Zhou,C2,0.0352,
2007-02-28.57,C/2007 F04 SOHO-1278,B.Zhou,C2 C3,0.0347,
2008-10-02.48,C/2008 T06 SOHO-1537,B.Zhou,C2,0.0319,
2009-02-26.25,C/2009 D08 SOHO-1616,B.Zhou,C2,0.0338,
-2009,C/2009 SOHO-1700,B.Zhou,C3,,
-2009,C/2009 SOHO-1714,B.Zhou,C2,,
-2009,C/2009 SOHO-1768,B.Zhou,C2,,
-2010,C/2010 SOHO-1925,B.Zhou,C2,,
2011,C/2011 SOHO-2141,B.Zhou,C2,,
2012,C/2012 SOHO-2251,B.Zhou,C2,,
2013,C/2013 SOHO-2461,B.Zhou,C2,,
2013,C/2013 SOHO-2501,B.Zhou,C2,,
2014,C/2014 SOHO-2834,B.Zhou,C2,,
2015,C/2015 SOHO-3013,B.Zhou,C2,,
2015,C/2015 SOHO-3061,B.Zhou,C2,,
2015,C/2015 SOHO-3076,B.Zhou,C2,,
2016,C/2016 SOHO-3091,B.Zhou,C2,,
2016,C/2016 SOHO-3096,B.Zhou,C2,,
