PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2003-12-26.65,C/2003 Y11 SOHO-717,M. Oates,C2,0.0051,8357,
2003-03-21.30,C/2003 F3 SOHO-592,M. Oates,C2 C3,0.0049,8283,
2003-01-19.37,C/2003 B2 SOHO-582,M. Oates,C3,0.0049,8276 8278,
2002-10-09.39,C/2002 T3 SOHO-528,M. Oates,C2 C3,0.0077,7991,
2002-09-21.10,C/2002 S6 SOHO-521,M. Oates,C3,0.0050,7986,
2002-06-15.75,C/2002 L8 SOHO-463,M. Oates,C2,0.0051,7930,
2001-10-07.19,C/2001 T7 SOHO-363,M. Oates,C2 C3,0.0050,7750,
2001-09-28.97,C/2001 S2 SOHO-353,M. Oates,C2 C3,0.0053,7730,
2001-06-27.60,C/2001 M11 SOHO-339,M. Oates,C2,0.0061,7667,
2001-06-27.06,C/2001 M9 SOHO-338,M. Oates,C2,0.0051,7655,
2001-06-19.47,C/2001 M4 SOHO-332,M. Oates,C2,0.0051,7650,
2001-06-17.09,C/2001 M2 SOHO-330,M. Oates,C2,0.0059,7650,
2001-06-09.50,C/2001 L7 SOHO-326,M. Oates,C2,0.0049,7646,
2001-06-09.28,C/2001 L6 SOHO-325,M. Oates,C2,0.0049,7646,
2001-06-06.27,C/2001 L5 SOHO-324,M. Oates,C2,0.0051,7646,
2001-06-04.60,C/2001 L2 SOHO-322,M. Oates,C2,0.0052,7642,
2001-05-23.82,C/2001 K6 SOHO-316,M. Oates,C2,0.0062,7641,
2001-05-20.25,C/2001 K2 SOHO-314,M. Oates,C2 C3,0.0051,7631,
2001-05-07.08,C/2001 J3 SOHO-312,M. Oates,C2,0.0084,7631,
2001-04-20.75,C/2001 H1 SOHO-307,M. Oates,C2 C3,0.0084,7613,
2001-04-11.14,C/2001 G3 SOHO-304,M. Oates,C2,0.0079,7613,
2001-02-08.44,C/2001 C4 SOHO-295,M. Oates,C2 C3,0.0051,7582,
2001-02-04.98,C/2001 C3 SOHO-293,M. Oates,C2 C3,0.0051,7582,
2001-01-25.36,C/2001 B3 SOHO-292,M. Oates,C3,0.0077,7573,
2000-12-25.45,C/2000 Y9 SOHO-280,M. Oates,C2,0.0051,7567,
2000-12-07.47,C/2000 X5 SOHO-269,M. Oates,C2,0.0055,7562,
2000-11-27.69,C/2000 W5 SOHO-259,M. Oates,C2,0.0049,7562,
2000-11-20.36,C/2000 W4 SOHO-249,M. Oates,C2 C3,0.0053,7562,
2000-11-16.64,C/2000 W2 SOHO-248,M. Oates,C2,0.0051,7548,
2000-11-11.63,C/2000 V3 SOHO-236,M. Oates,C2 C3,0.0051,7536,
2000-10-25.45,C/2000 U4 SOHO-214,M. Oates,C2,0.0050,7514,
2000-10-21.76,C/2000 U1 SOHO-208,M. Oates,C2,0.0051,7514,
2000-07-5.08,C/2000 N3 SOHO-286,M. Oates,C2,0.0050,7572,
2000-06-3.97,C/2000 L1 SOHO-127,M. Oates,C2,0.0053,7439,
2000-06-18.67,C/2000 M2 SOHO-144,M. Oates,C2,0.0052,7450,
2000-06-11.60,C/2000 L6 SOHO-285,M. Oates,C2,0.0074,7572,
2000-06-10.57,C/2000 L3 SOHO-130,M. Oates & X. Leprette & M. Boschat,C2,0.0054,7439,
2000-05-30.21,C/2000 K8 SOHO-284,M. Oates,C2,0.0053,7567,
2000-05-27.52,C/2000 K6 SOHO-120,M. Oates & X. Leprette & M. Boschat,C2,0.0051,7435,
2000-05-23.02,C/2000 K4 SOHO-118,M. Oates,C2,0.0055,7433,
2000-05-15.54,C/2000 J4 SOHO-115,M. Oates & X. Leprette,C2 C3,0.0065,7426,
2000-05-12.16,C/2000 J5 SOHO-117,M. Oates,C2,0.0081,7433,
2000-05-04.74,C/2000 J7 SOHO-288,M. Oates,C2,0.0055,7572,
2000-04-30.92,C/2000 H4 SOHO-287,M. Oates,C2,0.0049,7572,
2000-04-17.66,C/2000 H3 SOHO-289,M. Oates,C2,0.0050,7572,
1999-12-04.23,C/1999 X2 SOHO-177,M. Oates,C2,0.0059,7459,V
1999-11-15.92,C/1999 V4 SOHO-217,M. Oates,C2,0.0051,7517,V
1999-11-15.13,C/1999 V3 SOHO-216,M. Oates,C2,0.0056,7517,V
1999-11-08.50,C/1999 V2 SOHO-215,M. Oates,C2 C3,0.0049,7517,V
1999-10-30.61,C/1999 U9 SOHO-213,M. Oates,C2,0.0053,7517,V
1999-10-29.68,C/1999 U8 SOHO-212,M. Oates,C2,0.0051,7517,V
1999-10-27.49,C/1999 U7 SOHO-211,M. Oates,C2,0.0050,7517,V
1999-10-18.27,C/1999 U6 SOHO-207,M. Oates,C2,0.0055,7508,V
1999-06-24.65,C/1999 M4 SOHO-531,M. Oates,C2 C3,0.0081,8022,V
1999-06-06.72,C/1999 L8 SOHO-163,M. Oates,C2,0.0054,7452,V
1999-06-03.68,C/1999 L7 SOHO-156,M. Oates,C2,0.0076,7452,V
1999-06-01.70,C/1999 L6 SOHO-157,M. Oates,C2,0.0050,7452,V
1999-05-29.25,C/1999 K15 SOHO-134,M. Oates,C2,0.0051,7439,V
1999-05-28.46,C/1999 K14 SOHO-133,M. Oates,C2,0.0064,7439,V
1999-05-24.68,C/1999 K13 SOHO-132,M. Oates,C2,0.0075,7439,V
1999-05-23.98,C/1999 K12 SOHO-131,M. Oates,C2,0.0065,7439,V
1999-05-20.32,C/1999 K11 SOHO-129,M. Oates,C2,0.0050,7439,V
1999-05-14.93,C/1999 J11 SOHO-123,M. Oates,C2,0.0051,7439,V
1999-05-11.44,C/1999 J10 SOHO-124,M. Oates,C2,0.0072,7439,V
1999-05-09.61,C/1999 J9 SOHO-126,M. Oates,C2,0.0050,7439,V
1999-05-08.13,C/1999 J8 SOHO-122,M. Oates,C2,0.0056,7439,V
1999-05-05.79,C/1999 J7 SOHO-125,M. Oates,C2,0.0070,7439,V
1999-05-03.48,C/1999 J12 SOHO-176,M. Oates,C2,0.0051,7459,V
1999-04-29.15,C/1999 H6 SOHO-170,M. Oates,C2,0.0062,7458,V
1999-04-24.87,C/1999 H5 SOHO-168,M. Oates,C2,0.0051,7454,V
1999-04-20.85,C/1999 H7 SOHO-175,M. Oates,C2,0.0082,7459,V
1999-04-11.62,C/1999 G5 SOHO-174,M. Oates,C2,0.0062,7459,V
1999-04-03.86,C/1999 G4 SOHO-172,M. Oates,C2,0.0073,7458,V
1999-04-02.41,C/1999 G3 SOHO-171,M. Oates,C2,0.0092,7458,V
1999-03-03.72,C/1999 E2 SOHO-108,M. Oates,C3,0.0051,7377,V
1998-12-14.65,C/1998 X10 SOHO-251,M. Oates,C2,0.0050,7558,V
1998-12-14.64,C/1998 X9 SOHO-250,M. Oates,C2,0.0053,7558,V
1998-12-12.35,C/1998 X8 SOHO-246,M. Oates,C2,0.0055,7536,V
1998-12-10.31,C/1998 X7 SOHO-243,M. Oates,C2,0.0058,7536,V
1998-12-10.10,C/1998 X6 SOHO-245,M. Oates,C2,0.0060,7536,V
1998-12-09.58,C/1998 X5 SOHO-244,M. Oates,C2,0.0057,7536,V
1998-12-09.19,C/1998 X11 SOHO-262,M. Oates,C2,0.0049,7565,V
1998-12-08.26,C/1998 X4 SOHO-242,M. Oates,C2,0.0057,7536,V
1998-12-05.96,C/1998 X3 SOHO-238,M. Oates,C2,0.0053,7536,V
1998-11-07.56,C/1998 V7 SOHO-302,M. Oates,C2,0.0048,7612,V
1998-06-24.04,C/1998 M10 SOHO-161,M. Oates,C2,0.0064,7452,V
1998-06-22.08,C/1998 M9 SOHO-160,M. Oates,C2,0.0061,7452,V
1998-06-19.84,C/1998 M8 SOHO-159,M. Oates,C2,0.0055,7452,V
1998-06-12.69,C/1998 L9 SOHO-155,M. Oates,C2,0.0048,7452,V
1998-06-08.76,C/1998 L8 SOHO-154,M. Oates,C2,0.0071,7452,V
