PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
-2012,C/2012 SOHO-2376,T.Prestgard,C2 C3
-2012,C/2012 SOHO-2385,T.Prestgard,C2
2013,C/2013 SOHO-2498 ,T.Prestgard ,C2 
2011,C/2013 SOHO-2576 ,T.Prestgard ,C3 
2011,C/2013 SOHO-2577 ,T.Prestgard ,C3 
2013,C/2013 SOHO-2615 ,T.Prestgard ,C2 C3 
2010,C/2014 SOHO-2575 ,T.Prestgard ,C3 
2011,C/2014 SOHO-2578 ,T.Prestgard ,C3 
2012,C/2014 SOHO-2579 ,T.Prestgard ,C3 
2014,C/2014 SOHO-2684 ,T.Prestgard ,C3 C2 
4013,C/2014 SOHO-2703 ,T.Prestgard ,C3 C2 
2014,C/2014 SOHO-2773 ,T.Prestgard ,C3 C2 
2014,C/2014 SOHO-2781 ,T.Prestgard ,C3 
2014,C/2014 SOHO-2788 ,T.Prestgard ,C3 C2 
2014,C/2014 SOHO-2807 ,T.Prestgard ,C3 
2014,C/2014 SOHO-2809 ,T.Prestgard ,C2 
2014,C/2014 SOHO-2813 ,T.Prestgard ,C3 C2 
2014,C/2014 SOHO-2819 ,T.Prestgard ,C2 
2014,C/2014 SOHO-2822 ,T.Prestgard ,C2 
2014,C/2014 SOHO-2832 ,T.Prestgard ,C2 
2014,C/2014 SOHO-2845 ,T.Prestgard ,C2 
2015,C/2015 SOHO-2869 ,T.Prestgard ,C3 
2015,C/2015 SOHO-2876 ,T.Prestgard ,C3 
2015,C/2015 SOHO-2877 ,T.Prestgard ,C3 
2015,C/2015 SOHO-2899 ,T.Prestgard ,C2 
2015,C/2015 SOHO-2913 ,T.Prestgard ,C2 
2015,C/2015 SOHO-2921 ,T.Prestgard ,C2 
2015,C/2015 SOHO-2923 ,T.Prestgard ,C2 
2015,C/2015 SOHO-2962 ,T.Prestgard ,C2 
2015,C/2015 SOHO-2998 ,T.Prestgard ,C3 
2015,C/2015 SOHO-2999 ,T.Prestgard ,C3 
2015,C/2015 SOHO-3018 ,T.Prestgard ,C2 
2015,C/2015 SOHO-3036 ,T.Prestgard ,C2 
2015,C/2015 SOHO-3038 ,T.Prestgard ,C2 
