Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3944,Apr23 2020 18:35:27,T.Prestgard,C2,Kreutz,Mar27 2015
3947,Mar26 2020 03:21:51,T.Prestgard,C2,Kreutz,Mar23 2018
3948,Mar30 2020 13:36:23,T.Prestgard,C2,Kreutz,Apr01 2018
3949,Mar30 2020 13:44:03,T.Prestgard,C2,Kreutz,Apr05 2018
3950,Mar30 2020 15:17:25,T.Prestgard,C2,Kreutz,Apr18 2018
3951,Mar30 2020 16:52:09,T.Prestgard,C2,Kreutz,Apr28 2018
3955,May02 20 19:23:22,T.Prestgard,C2,Kreutz,May02 20
3988,Jun06 20 20:36:46,T.Prestgard,C2,Kreutz,Jun06 20
3992,Jun08 20 06:29:24,T.Prestgard,C2,Kreutz,Jun08 20
4000,Jun15 20 09:19:03,T.Prestgard,C3 C2,Kreutz,Jun15-16 20
