PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2015,C/2015 SOHO-2947 ,J.Ruan ,C2 ,
-2011,C/2011 SOHO-2047,J.Ruan,C2,  
-2011,C/2011 SOHO-2191,J.Ruan,C2 C3,  
-2011,C/2011 SOHO-2055,J.Ruan/Z.Xu,C2,  
-2010,C/2010 SOHO-1781,J.Ruan,C2 C3,  
-2010,C/2010 SOHO-1782,J.Ruan,C2,  
-2010,C/2010 SOHO-1785,J.Ruan,C3,  
-2010,C/2010 SOHO-1786,J.Ruan,C2 C3,  
-2010,C/2010 SOHO-1793,J.Ruan,C3,  
-2010,C/2010 SOHO-1794,J.Ruan,C3,  
-2010,C/2010 SOHO-1802,J.Ruan,C3,  
-2010,C/2010 SOHO-1811,J.Ruan,C3,  
-2010,C/2010 SOHO-1813,J.Ruan,C3,  
-2010,C/2010 SOHO-1815,J.Ruan,C2 C3,  
-2010,C/2010 SOHO-1854,J.Ruan,C2,  
-2010,C/2010 SOHO-1856,J.Ruan,C2,  
-2010,C/2010 SOHO-1914,J.Ruan,C2 C3,  
-2010,C/2010 SOHO-1917,J.Ruan,C2 C3,  
-2010,C/2010 SOHO-1927,J.Ruan,C2,  
-2010,C/2010 SOHO-1852,J.Ruan&M.Kusiak,C2,  
2009-12-17.50,C/2009 Y06 SOHO-1765,J.Ruan&B.Zhou,C2,0.0049
2009-12-11.45,C/2009 X14 SOHO-1761,J.Ruan,C2,0.0048
2009-12-07.81,C/2009 X11 SOHO-1758,J.Ruan,C2,0.0047
2009-12-05.00,C/2009 X06 SOHO-1753,J.Ruan,C2 C3,0.0086
2009-12-02.83,C/2009 X04 SOHO-1751,J.Ruan,C2,0.0051
2009-11-28.95,C/2009 W14 SOHO-1744,J.Ruan,C2,0.0081
2009-11-28.72,C/2009 W13 SOHO-1745,J.Ruan,C2,0.0080
2009-11-19.46,C/2009 W06 SOHO-1737,J.Ruan,C2,0.0050
2009-11-18.27,C/2009 W04 SOHO-1735,J.Ruan,C2 C3,0.0061
2009-11-17.71,C/2009 W05 SOHO-1736,J.Ruan,C2 C3,0.0048
2009-11-17.45,C/2009 W03 SOHO-1734,J.Ruan&B.Zhou,C2 C3,0.0075
2009-11-03.62,C/2009 V04 SOHO-1723,J.Ruan,C2,0.0071
2009-11-03.44,C/2009 V03 SOHO-1722,J.Ruan,C3,0.0068
-2009,C/2009 SOHO-1704,J.Ruan,C2,
-2009,C/2009 SOHO-1703,J.Ruan,C2,
2009-09-13.79,C/2009 R05 SOHO-1695,J.Ruan,C2 C3,0.0050
2009-09-11.06,C/2009 R04 SOHO-1694,J.Ruan,C2 C3,0.0048
2009-02-19.86,C/2009 D03 SOHO-1612,J.Ruan,C3,0.0059
2008-12-23.07,C/2008 Y10 SOHO-1592,J.Ruan,C2 C3,0.0053
2008-11-28.54,C/2008 W10 SOHO-1573,J.Ruan,C2,0.0051
2008-11-25.54,C/2008 W07 SOHO-1570,J.Ruan,C2 C3,0.0057
2008-11-24.80,C/2008 W05 SOHO-1567,J.Ruan,C2 C3,0.0048
2008-11-16.74,C/2008 W02 SOHO-1565,J.Ruan,C2,0.0067
2008-11-12.17,C/2008 V06 SOHO-1564,J.Ruan,C2,0.0050
2008-10-28.75,C/2008 U15 SOHO-1557,J.Ruan,C2,0.0051
2008-10-06.18,C/2008 T08 SOHO-1539,J.Ruan,C2 C3,0.0065
2008-09-29.94,C/2008 S07 SOHO-1535,J.Ruan,C2 C3,0.0060
2008-09-05.94,C/2008 R09 SOHO-1525,J.Ruan,C3,0.0051
2008-08-27.38,C/2008 Q05 SOHO-1523,J.Ruan,C3,0.0051
2008-05-28.65,C/2008 K8 SOHO-1480,J.Ruan,C2,0.0080
2008-05-14.77,C/2008 J16 SOHO-1472,J.Ruan,C2,0.0051
2008-05-13.49,C/2008 J15 SOHO-1471,J.Ruan,C2,0.0048
2008-05-05.51,C/2008 J08 SOHO-1463,J.Ruan,C2,0.0072
2005-12-09.42,C/2005 X5 SOHO-1066,J.Ruan,C2 C3,0.0044
2005-12-08.73,C/2005 X6 SOHO-1067,J.Ruan,C2,0.0050
2005-11-20.65,C/2005 W8 SOHO-1051,J.Ruan,C2 C3,0.0049
2000-02,C/2000 SOHO-1903,J.Ruan,C3,





