PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
2014,C/2014 SOHO-2749 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2756 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2783 ,W.Boonplod ,C3 
2014,C/2014 SOHO-2795 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2796 ,W.Boonplod ,C3 
2014,C/2014 SOHO-2799 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2804 ,W.Boonplod ,C3 
2014,C/2014 SOHO-2805 ,W.Boonplod ,C3 
2014,C/2014 SOHO-2808 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2818 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2824 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2826 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2833 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2835 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2838 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2841 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2846 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2847 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2852 ,W.Boonplod ,C2 
2014,C/2014 SOHO-2857 ,W.Boonplod ,C3 C2 
2014,C/2014 SOHO-2858 ,W.Boonplod ,C2 
2015,C/2015 SOHO-2862 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2865 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2870 ,W.Boonplod ,C3 
2015,C/2015 SOHO-2871 ,W.Boonplod ,C3 
2015,C/2015 SOHO-2878 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2880 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2881 ,W.Boonplod ,C3 
2015,C/2015 SOHO-2889 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2893 ,W.Boonplod ,C3 
2015,C/2015 SOHO-2894 ,W.Boonplod ,C3 
2015,C/2015 SOHO-2895 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2905 ,W.Boonplod ,C3 C2 
2015,C/2015 SOHO-2907 ,W.Boonplod ,C2 
