PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
-2010,C/2010 SOHO-1991,M.-T.Hui,C2 C3,  
2009-03-11.07,C/2009 E04 SOHO-1620,M.-T. Hui,C2 C3,0.0051
2007-01-20.16,C/2007 B05 SOHO-1258,M.-T. Hui,C3,0.0051
2006-12-29.80,C/2006 Y15 SOHO-1250,M.-T. Hui,C2 C3,0.0049
2006-12-28.83,C/2006 Y13 SOHO-1247,M.-T. Hui,C2 C3,0.0050
2006-10-06.60,C/2006 T5 SOHO-1198,M.-T. Hui,C2,0.0049
2006-07-15.45,C/2006 N3 SOHO-1173,M.-T. Hui,C2 C3,0.0057
2006-06-05.02,C/2006 L4 SOHO-1159,M.-T. Hui,C2,0.0050
2006-05-20.98,C/2006 K10 SOHO-1143,M.-T. Hui,C2,0.0049
2005-11-20.66,C/2005 W7 SOHO-1050,M.-T. Hui,C2 C3,0.0052


