PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
1998-10-27.67,C/1998 U7 SOHO-928,X.Leprette,C3,0.0067, ,V
2004-05-05.07,C/2004 J3 SOHO-768,X.Leprette,C2,0.0050,8366,
2004-06-27.91,C/2004 M6 SOHO-810,X.Leprette,C2,0.0050,8380,
2004-07-08.79,C/2004 N5 SOHO-815,X.Leprette,C2 C3,0.0055,8394,
2004-08-06.94,C/2004 P4 SOHO-824,X.Leprette,C3,0.0052,8398,
2004-08-26.14,C/2004 Q5 SOHO-831,X.Leprette,C3,0.0052, ,
2004-10-24.67,C/2004 U8 SOHO-851,X.Leprette,C2 C3,0.0049, ,
2004-11-11.62,C/2004 V12 SOHO-862,X.Leprette,C2 C3,0.0049, ,
2004-11-23.59,C/2004 W6 SOHO-869,X.Leprette,C2,0.0052, ,
2004-11-24.52,C/2004 W8 SOHO-871,X.Leprette,C2,0.0051, ,
2005-01-27.52,C/2005 B3 SOHO-902,X.Leprette,C3,0.0049,,
2005-02-08.55,C/2005 C3 SOHO-907,X.Leprette,C2 C3,0.0049,,
2005-03-14.93,C/2005 E7 SOHO-918,X.Leprette,C2 C3,0.0052,,
2005-04-04.76,C/2005 G3 SOHO-935,X.Leprette,C2 C3,0.0091,,
2005-06-17.07,C/2005 L15 SOHO-980,X.Leprette,C3,0.0048,,
2005-06-26.39,C/2005 M7 SOHO-986,X.Leprette,C2 C3,0.0048,,
