PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
-2011,C/2011 SOHO-2026,S.Liwo,C2 C3
-2011,C/2011 SOHO-2049,S.Liwo,C2
-2011,C/2011 SOHO-2066,S.Liwo,C2
-2011,C/2011 SOHO-2074,S.Liwo,C2
-2011,C/2011 SOHO-2098,S.Liwo,C2 C3
-2011,C/2011 SOHO-2159,S.Liwo,C3
-2011,C/2011 SOHO-2174,S.Liwo,C2
-2011,C/2011 SOHO-2207,S.Liwo,C2
-2011,C/2011 SOHO-2210,S.Liwo,C2
-2012,C/2012 SOHO-2218,S.Liwo,C2
-2012,C/2012 SOHO-2219,S.Liwo,C2 C3
-2012,C/2012 SOHO-2226,S.Liwo,C2 C3
-2012,C/2012 SOHO-2227,S.Liwo,C3
-2012,C/2012 SOHO-2274,S.Liwo,C2
-2012,C/2012 SOHO-2311,S.Liwo,C2 C3
-2012,C/2012 SOHO-2352,S.Liwo,C3
-2012,C/2012 SOHO-2388,S.Liwo,C2 C3
-2012,C/2012 SOHO-2395,S.Liwo,C2
-2012,C/2012 SOHO-2399*,S.Liwo,C2
-2012,C/2012 SOHO-2411,S.Liwo,C2
-2012,C/2012 SOHO-2413,S.Liwo,C2 C3
-2012,C/2012 SOHO-2424,S.Liwo,C2
-2012,C/2012 SOHO-2435,S.Liwo,C2
2013,C/2013 SOHO-2459 ,S.Liwo ,C3 
2013,C/2013 SOHO-2465 ,S.Liwo ,C3 
2013,C/2013 SOHO-2477 ,S.Liwo ,C2 
2013,C/2013 SOHO-2485 ,S.Liwo ,C2 
2013,C/2013 SOHO-2505 ,S.Liwo ,C2 C3 
2013,C/2013 SOHO-2507 ,S.Liwo ,C2 
2013,C/2013 SOHO-2597 ,S.Liwo ,C2 C3 
2013,C/2013 SOHO-2599 ,S.Liwo ,C2 C3 
2013,C/2013 SOHO-2619 ,S.Liwo ,C2 
2013,C/2013 SOHO-2620 ,S.Liwo ,C2 
2013,C/2013 SOHO-2627 ,S.Liwo ,C2 
2013,C/2013 SOHO-2634 ,S.Liwo ,C2 
2013,C/2013 SOHO-2648 ,S.Liwo ,C2 
2013,C/2013 SOHO-2656 ,S.Liwo ,C3
2014,C/2014 SOHO-2672 ,S.Liwo ,C3 C2 
2014,C/2014 SOHO-2678 ,S.Liwo ,C2 
2014,C/2014 SOHO-2680 ,S.Liwo ,C2 
2014,C/2014 SOHO-2719 ,S.Liwo ,C2 
2014,C/2014 SOHO-2740 ,S.Liwo ,C2 
2014,C/2014 SOHO-2801 ,S.Liwo ,C3 
2014,C/2014 SOHO-2837 ,S.Liwo ,C2 
2014,C/2014 SOHO-2849 ,S.Liwo ,C2 
2014,C/2014 SOHO-2850 ,S.Liwo ,C2 
2014,C/2014 SOHO-2856 ,S.Liwo ,C3 C2 
2014,C/2014 SOHO-3012 ,S.Liwo ,C3 
2015,C/2015 SOHO-2867 ,S.Liwo ,C3 
2015,C/2015 SOHO-2873 ,S.Liwo ,C3 
2015,C/2015 SOHO-2879 ,S.Liwo ,C3 
2015,C/2015 SOHO-2897 ,S.Liwo ,C3 C2 
2015,C/2015 SOHO-2928 ,S.Liwo ,C2 
2015,C/2015 SOHO-2997 ,S.Liwo ,C3 
2015,C/2015 SOHO-3069 ,S.Liwo ,C3 C2 
2015,C/2015 SOHO-3077 ,S.Liwo ,C2 
2015,C/2015 SOHO-3079 ,S.Liwo ,C2 
-2012,C/2012 SOHO-2394,S.Liwo/K.Kida,C2 C3
-2012,C/2012 SOHO-2408,S.Liwo/K.Kida,C2 C3
2013,C/2013 SOHO-2603 ,S.Liwo/P.Sun ,C2 C3 
-2011,C/2011 SOHO-2187,S.Liwo&M.Kusiak,C2
-2011,C/2011 SOHO-2198,S.Liwo&S.Mulye,C2 C3
