Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3094,Feb04 2016 19:11:54,T.Prestgard,C3,Kreutz,Feb04-05 2016
3099,Feb11 2016 17:25:15,T.Prestgard,C3,Kreutz,Feb11 2016
3121,Feb04 2016 06:22:44,T.Prestgard,C3(HI1),Kreutz,Feb03 2016
3131,May20 2016 11:18:38,T.Prestgard,C3 C2,Kreutz,May20 2016
3151,Jun12 2016 18:31:39,T.Prestgard,C3 C2,Kreutz,Jun12 2016
3152,Jun13 2016 21:19:38,T.Prestgard,C2,Kreutz,Jun14 2016
3207,Oct04 2016 15:16:59,T.Prestgard,C2,Kreutz,Oct03 2016
3215,Oct18 2016 06:47:30,T.Prestgard,C2,Kreutz,Oct17 2016
3221,Oct28 2016 19:01:46,T.Prestgard,C2,Kreutz,Oct28 2016
3231,Nov17 2016 03:53:12,T.Prestgard,C3 C2,Kreutz,Nov17 2016
3257,Jan28 2016 08:51:11,T.Prestgard,C3,Kreutz,Feb01 2013
