PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2004-11-19.10,C/2004 W2 SOHO-866,T.Scarmato,C2 C3,0.0053
2004-12-25.80,C/2004 Y3 SOHO-886,T.Scarmato,C3,0.0048
2005-08-06.53,C/2005 P1 SOHO-999,T.Scarmato,C2 C3,0.0049
2005-08-06.11,C/2005 P2 SOHO-1000,T.Scarmato,C3,0.0048
2005-10-22.20,C/2005 U5 SOHO-1035,T.Scarmato,C3,0.0049
2005-11-05.33,C/2005 V4 SOHO-1042,T.Scarmato,C2 C3,0.0049
2005-11-19.10,C/2005 W6 SOHO-1049,T.Scarmato,C2 C3,0.0078
2005-11-22.50,C/2005 W13 SOHO-1056,T.Scarmato,C2 C3,0.0049
2005-11-24.19,C/2005 W14 SOHO-1058,T.Scarmato,C2 C3,0.0049
2006-10-17.09,C/2006 U8 SOHO-1203,T.Scarmato,C2 C3,0.0050
2006-12-11.59,C/2006 X4 SOHO-1230,T.Scarmato,C2 C3,0.0047
2009-11-07.30,C/2009 V05 SOHO-1731,T.Scarmato,C2 C3,0.0053
2009-12-02.47,C/2009 X03 SOHO-1750,T.Scarmato,C2 C3,0.0049
