PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
-2011,C/2011 SOHO-2020,S.Schmalz,C3
-2011,C/2011 SOHO-2077,S.Schmalz,C2
-2011,C/2011 SOHO-2078,S.Schmalz,C2
-2011,C/2011 SOHO-2087*,S.Schmalz,C2
-2011,C/2011 SOHO-2093,S.Schmalz,C2
-2011,C/2011 SOHO-2101,S.Schmalz,C2
-2011,C/2011 SOHO-2104,S.Schmalz,C2
-2011,C/2011 SOHO-2112,S.Schmalz,C2 C3
-2011,C/2011 SOHO-2137,S.Schmalz,C2 C3?
-2011,C/2011 SOHO-2151,S.Schmalz,C2
-2011,C/2011 SOHO-2153,S.Schmalz,C2
-2011,C/2011 SOHO-2158,S.Schmalz,C2
-2011,C/2011 SOHO-2169,S.Schmalz,C2
-2011,C/2011 SOHO-2170,S.Schmalz,C2
-2011,C/2011 SOHO-2173,S.Schmalz,C2
-2011,C/2011 SOHO-2179,S.Schmalz,C2
-2011,C/2011 SOHO-2180,S.Schmalz,C2
-2011,C/2011 SOHO-2181,S.Schmalz,C2 C3
-2011,C/2011 SOHO-2183,S.Schmalz,C2
-2011,C/2011 SOHO-2184,S.Schmalz,C2
-2011,C/2011 SOHO-XC,S.Schmalz,C2
-2011,C/2011 SOHO-2186,S.Schmalz,C2 C3
-2011,C/2011 SOHO-2190,S.Schmalz,C2
-2011,C/2011 SOHO-2195,S.Schmalz,C2
-2011,C/2011 SOHO-2196,S.Schmalz,C2
-2011,C/2011 SOHO-2202,S.Schmalz,C2
-2011,C/2011 SOHO-2205,S.Schmalz,C2 C3
-2011,C/2011 SOHO-2212,S.Schmalz,C2
-2011,C/2011 SOHO-2213,S.Schmalz,C2
-2011,C/2011 SOHO-2214,S.Schmalz,C2 C3
-2011,C/2011 SOHO-2215,S.Schmalz,C2
-2011,C/2011 SOHO-2217,S.Schmalz,C2
-2012,C/2012 SOHO-2221,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2222,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2236,S.Schmalz,C3
-2012,C/2012 SOHO-2237,S.Schmalz,C3
-2012,C/2012 SOHO-2242,S.Schmalz,C3
-2012,C/2012 SOHO-2266,S.Schmalz,C2
-2012,C/2012 SOHO-2267,S.Schmalz,C2
-2012,C/2012 SOHO-2269,S.Schmalz,C2
-2012,C/2012 SOHO-2270,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2271,S.Schmalz,C2
-2012,C/2012 SOHO-2272,S.Schmalz,C2
-2012,C/2012 SOHO-2273,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2277,S.Schmalz,C2
-2012,C/2012 SOHO-2278,S.Schmalz,C2
-2012,C/2012 SOHO-2279,S.Schmalz,C2
-2012,C/2012 SOHO-2280,S.Schmalz,C2
-2012,C/2012 SOHO-2282,S.Schmalz,C2
-2012,C/2012 SOHO-2285*,S.Schmalz,C2
-2012,C/2012 SOHO-2296,S.Schmalz,C2
-2012,C/2012 SOHO-2299,S.Schmalz,C2
-2012,C/2012 SOHO-2302,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2303,S.Schmalz,C2
-2012,C/2012 SOHO-2306,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2312,S.Schmalz,C2
-2012,C/2012 SOHO-2316,S.Schmalz,C2
-2012,C/2012 SOHO-2317,S.Schmalz,C2
-2012,C/2012 SOHO-2319,S.Schmalz,C2
-2012,C/2012 SOHO-2323,S.Schmalz,C2
-2012,C/2012 SOHO-2324,S.Schmalz,C2
-2012,C/2012 SOHO-2325,S.Schmalz,C2
-2012,C/2012 SOHO-2326,S.Schmalz,C3
-2012,C/2012 SOHO-2327,S.Schmalz,C3
-2012,C/2012 SOHO-2331,S.Schmalz,C2 C3
-2012,C/2012 SOHO-2339,S.Schmalz,C3
-2012,C/2012 SOHO-2344,S.Schmalz,C3
-2012,C/2012 SOHO-2347,S.Schmalz,C3
-2012,C/2012 SOHO-2353,S.Schmalz,C3
-2012,C/2012 SOHO-2354,S.Schmalz,C3
-2012,C/2012 SOHO-2356,S.Schmalz,C3
2013,C/2013 SOHO-2553 ,S.Schmalz ,C2 
2013,C/2013 SOHO-2555 ,S.Schmalz ,C3 
2013,C/2013 SOHO-2561 ,S.Schmalz ,C3 
2015,C/2015 SOHO-2861 ,S.Schmalz ,C2 
