PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
-2011,C/2011 SOHO-2072,S.Shurpakov,C2 C3
-2011,C/2011 SOHO-2121,S.Shurpakov,C3
-2011,C/2011 SOHO-2123,S.Shurpakov,C3
-2011,C/2011 SOHO-2132,S.Shurpakov,C3
-2011,C/2011 SOHO-2147,S.Shurpakov,C3
-2012,C/2012 SOHO-2248,S.Shurpakov,C3
-2012,C/2012 SOHO-2322,S.Shurpakov,C2 C3
-2012,C/2012 SOHO-2364,S.Shurpakov,C3
-2012,C/2012 SOHO-2371,S.Shurpakov,C2 C3
2013,C/2013 SOHO-2452 ,S.Shurpakov ,C3 
2013,C/2013 SOHO-2453 ,S.Shurpakov ,C3 
2013,C/2013 SOHO-2470 ,S.Shurpakov ,C2 C3 
2013,C/2013 SOHO-2497 ,S.Shurpakov ,C2 C3 
-2011,C/2011 SOHO-2109,S.Shurpakow,C3/C2
