PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
1996-08-22.21,C/1996 Q2 SOHO-1,S. Stezelberger,C2 C3,0.0052,6653,V
1996-12-12.89,C/1996 X2 SOHO-4,S. Stezelberger,C3,0.0054,6669,V
1996-12-23.26,C/1996 Y1 SOHO-6,S. Stezelberger,C2 C3 UVCS,0.0055,6653,V
1997-06-13.83,C/1997 L3 SOHO-12,S. Stezelberger,C2 C3,0.0082,6685,V
1997-08-05.82,C/1997 P1 SOHO-19,S. Stezelberger,C2 C3,0.0055,6713,V
1997-09-17.03,C/1997 R3 SOHO-29,S. Stezelberger,C2 C3,0.0054,6745,V
1997-11-23.43,C/1997 W1 SOHO-35,S. Stezelberger,C2 C3,0.0055,6781,V
1997-12-02.96,C/1997 X1 SOHO-36,S. Stezelberger,C2 C3,0.0051,6781,V
1998-04-30.78,C/1998 H2 SOHO-48,S. Stezelberger,C2 C3,0.0067,6952,V
1998-05-29.07,C/1998 K9 SOHO-53,S. Stezelberger,C2 C3,0.0056,6952,V
1998-06-11.49,C/1998 L1 SOHO-56,S. Stezelberger,C2  C3,0.0075,6984,V
