Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3654,Nov22 2018 14:58:36,H.Tan,H1 C3 C2,Kreutz,Nov19-20 2018
3655,Nov22 2018 15:43:12,H.Tan,H1C3 C2,Kreutz,Nov21-24 2018
3656,Nov22 2018 16:20:57,H.Tan,C2,Kreutz,Nov22 2018
3657,Nov24 2018 13:00:43,H.Tan,C2,Kreutz,Nov24 2018
3658,Nov24 2018 21:52:59,H.Tan,C2,Kreutz,Nov22 2018
3659,Nov26 2018 04:52:52,H.Tan,C2,Kreutz,Nov26 2018
3661,Nov29 2018 18:10:15,H.Tan,C2,Kreutz,Nov26 2018
3663,Dec01 2018 14:19:34,H.Tan,H1 C2,Kreutz,Dec01 2018
3665,Dec05 2018 03:58:08,H.Tan,H1 C2,Kreutz,Dec04-05 2018
3668,Dec09 2018 10:48:36,H.Tan,H1 C2,Kreutz,Dec09 2018
