PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2015,C/2015 SOHO-2874 ,M.Uchina ,C3 ,
2015,C/2015 SOHO-2940 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-2957 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-2969 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-2971 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-2989 ,M.Uchina ,C3 ,
2015,C/2015 SOHO-3015 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3016 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3020 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3040 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3047 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3056 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3058 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3060 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3068 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3073 ,M.Uchina ,C3 C2 ,
2015,C/2015 SOHO-3080 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3083 ,M.Uchina ,C2 ,
2015,C/2015 SOHO-3084 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2674 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2663 ,M.Uchina ,C3 ,
2014,C/2014 SOHO-2677 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2686 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2687 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2696 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2718 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2724 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2726 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2727 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2731 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2742 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2748 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2758 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2760 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2768 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2771 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2789 ,M.Uchina ,C3 ,
2014,C/2014 SOHO-2791 ,M.Uchina ,C3 ,
2014,C/2014 SOHO-2810 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2812 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2814 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2828 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2839 ,M.Uchina ,C2 ,
2014,C/2014 SOHO-2848 ,M.Uchina ,C3 C2 ,
2014,C/2014 SOHO-2853 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2441 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2471 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2472 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2473 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2478 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2480 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2481 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2482 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2492 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2493 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2496 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2504 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2526 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2527 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2529 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2530 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2536 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2541 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2542 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2543 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2544 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2551 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2572 ,M.Uchina ,C3 ,
2013,C/2013 SOHO-2591 ,M.Uchina ,C3 ,
2013,C/2013 SOHO-2593 ,M.Uchina ,C3 ,
2013,C/2013 SOHO-2596 ,M.Uchina ,C2 C3 ,
2013,C/2013 SOHO-2598 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2601 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2607 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2613 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2652 ,M.Uchina ,C2 ,
2013,C/2013 SOHO-2653 ,M.Uchina ,C2 ,
-2012,C/2012 SOHO-2234,M.Uchina,C3,  
-2012,C/2012 SOHO-2241,M.Uchina,C3,  
-2012,C/2012 SOHO-2276,M.Uchina,C2,  
-2012,C/2012 SOHO-2286,M.Uchina,C2,  
-2012,C/2012 SOHO-2289,M.Uchina,C2,  
-2012,C/2012 SOHO-2315,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2374,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2380,M.Uchina,C2,  
-2012,C/2012 SOHO-2381,M.Uchina,C2,  
-2012,C/2012 SOHO-2392,M.Uchina,C2,  
-2012,C/2012 SOHO-2393,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2402,M.Uchina,C2,  
-2012,C/2012 SOHO-2405,M.Uchina,C2,  
-2012,C/2012 SOHO-2412,M.Uchina,C2,  
-2012,C/2012 SOHO-2416,M.Uchina,C2,  
-2012,C/2012 SOHO-XC85,M.Uchina,C2,  
-2012,C/2012 SOHO-2418,M.Uchina,C2,  
-2012,C/2012 SOHO-2419,M.Uchina,C2,  
-2012,C/2012 SOHO-2420,M.Uchina,C2,  
-2012,C/2012 SOHO-2429,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2431,M.Uchina,C2 C3,  
-2012,C/2012 SOHO-2437,M.Uchina,C2 C3,
-2012,C/2012 SOHO-2229,M.Uchina/S.Schmalz,C3,  
-2011,C/2011 SOHO-2006,M.Uchina,C3,  
-2011,C/2011 SOHO-2010,M.Uchina,C3,  
-2011,C/2011 SOHO-2011,M.Uchina,C3,  
-2011,C/2011 SOHO-2023,M.Uchina,C3,  
-2011,C/2011 SOHO-2025,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2039,M.Uchina,C3/C2,  
-2011,C/2011 SOHO-2041,M.Uchina,C2,  
-2011,C/2011 SOHO-2052,M.Uchina,C2,  
-2011,C/2011 SOHO-2061,M.Uchina,C2,  
-2011,C/2011 SOHO-2065,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2085,M.Uchina,C2 C3,  
-2011,C/2011 SOHO-2089,M.Uchina,C2 C3,  
