Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3779,Jun28 2019 11:46:56,Z.Xu,C2,Kreutz,Jun28 2019
3780,Jun28 2019 11:48:33,Z.Xu,C2,Kreutz,Jun28 2019
3800,Jul14 2019 04:22:14,Z.Xu,C3 C2,NonGrp,Jul14 2019
3806,Jul27 2019 12:53:51,Z.Xu,C3,Kreutz,Jul27-28 2019
3807,Jul28 2019 21:57:00,Z.Xu,C3,Kreutz,Jul28-29 2019
3819,Aug26 2019 02:20:23,Z.Xu,C2,NonGrp,Aug26 2019
3829,Sep22 2019 09:27:23,Z.Xu,C3 C2,Kreutz,Sep22-23 2019
3830,Sep23 2019 05:46:36,Z.Xu,C3 C2,Kreutz,Sep23 2019
3839,Oct14 2019 05:59:30,Z.Xu,C3 C2,Kreutz,Oct14-15 2019
3868,Nov27 2019 01:46:16,Z.Xu,C2,Kreutz,Nov27 2019
3869,Nov27 2019 11:23:44,Z.Xu,H1 C2,Kreutz,Nov27 2019
3876,Dec05 2019 09:26:09,Z.Xu,C2,Kreutz,Dec05 2019
