PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2008-08-15.11,C/2008 P06 SOHO-1522,Z.Xu,C3,0.0049
2008-12-14.08,C/2008 X14 SOHO-1585,Z.Xu,C2,0.0056
2009-01-29.80,C/2009 B09 SOHO-1604,Z.Xu,C3,0.0071
2009-08-21.63,C/2009 Q06 SOHO-1690,Z.Xu,C3,0.0054
2009-09-30.82,C/2009 S11 SOHO-1702,Z.Xu,C2 C3,0.0054
2009-10-06.60,C/2009 T05 SOHO-1705,Z.Xu,C2 C3,0.0094
2009-10-15.94,C/2009 T13 SOHO-1713,Z.Xu,C2 C3,0.0049
2009-10-18.57,C/2009 U08 SOHO-1715,Z.Xu,C2,0.0048
2009-11-14.30,C/2009 V06 SOHO-1732,Z.Xu,C2 C3,0.0065
2009-11-28.50,C/2009 W12 SOHO-1743,Z.Xu,C2,0.0051
2009-12-18.00,C/2009 Y07 SOHO-1766,Z.Xu,C2,0.0053
-2010,C/2010 SOHO-1796,Z.Xu,C3,  
-2010,C/2010 SOHO-1797,Z.Xu,C3,  
-2010,C/2010 SOHO-1807,Z.Xu,C3,  
-2010,C/2010 SOHO-1816,Z.Xu,C2 C3,  
-2010,C/2010 SOHO-1824,Z.Xu,C2,  
-2010,C/2010 SOHO-1875,Z.Xu,C2 C3,  
-2010,C/2010 SOHO-1890,Z.Xu,C2,  
-2010,C/2010 SOHO-1899,Z.Xu,C3,  
-2010,C/2010 SOHO-1908,Z.Xu,C3,  
-2010,C/2010 SOHO-1912,Z.Xu,C3,  
-2010,C/2010 SOHO-1913,Z.Xu,C2 C3,  
-2010,C/2010 SOHO-1967,Z.Xu,C2,  
-2010,C/2010 SOHO-1975,Z.Xu,C2 C3,  
-2010,C/2010 SOHO-1976,Z.Xu,C2,  
-2010,C/2010 SOHO-1985,Z.Xu,C2 C3,  
-2010,C/2010 SOHO-1988,Z.Xu,C2,  
-2010,C/2010 SOHO-1997,Z.Xu,C2 C3,  
-2011,C/2011 SOHO-2005,Z.Xu,C2 C3,  
-2011,C/2011 SOHO-2017,Z.Xu,C3,  
-2011,C/2011 SOHO-2021,Z.Xu,C3,  
-2011,C/2011 SOHO-2031,Z.Xu,C3,  
