Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3090,Jan09 2016 10:39:32,B.Zhou,C3 C2,Kreutz,Jan10-11 2016
3091,Jan18 2016 05:58:55,B.Zhou,C2,Meyer,Jan18 2016
3095,Feb06 2016 00:56:45,B.Zhou,C3,Kreutz,Feb05 2016
3096,Feb06 2016 15:58:28,B.Zhou,C2,Meyer,Feb06 2016
3106,Mar21 2016 04:31:03,B.Zhou,C3 C2,Kreutz,Mar21 2016
3107,Mar25 2016 12:04:01,B.Zhou,C3 C2,Kreutz,Mar25-27 2016
3112,Apr05 2016 22:56:41,B.Zhou,C2,Kreutz,Apr05 2016
3113,Apr15 2016 14:01:05,B.Zhou,C2,Kreutz,Apr15 2016
3114,Apr16 2016 12:21:15,B.Zhou,C2,Kreutz,Apr16 2016
3118,Apr23 2016 23:12:52,B.Zhou,C3 C2,Kreutz,Apr24-25 2016
3125,May07 2016 00:42:01,B.Zhou,C2,Kreutz,May05 2016
3138,May30 2016 08:03:20,B.Zhou,C2,Kreutz,May30 2016
3139,Jun03 2016 09:41:21,B.Zhou,C3,NonGrp,Apr13 2013
3144,Jun06 2016 16:58:13,B.Zhou,C2,Kreutz,Jun06 2016
3148,Jun11 2016 08:02:15,B.Zhou,C2,Kreutz,Jun11 2016
3159,Jun23 2016 20:40:40,B.Zhou,C3 C2,Kreutz,Jun23-24 2016
3166,Jul03 2016 22:31:10,B.Zhou,C2,Kreutz,Jul03 2016
3168,Jul06 2016 22:07:01,B.Zhou,C2,Kreutz,Jul06 2016
3169,Jul07 2016 04:56:09,B.Zhou,C2,Kreutz,Jul07 2016
3171,Jul08 2016 07:57:53,B.Zhou,C3 C2,Kreutz,Jul08 2016
3174,Jul19 2016 20:23:39,B.Zhou,C2,NonGrp,Jul19-20 2016
3205,Sep27 2016 22:41:22,B.Zhou,C3 C2,Kreutz,Sep28 2016
3209,Oct14 2016 07:33:47,B.Zhou,C2,Kreutz,Oct14 2016
3255,Dec30 2016 15:27:50,B.Zhou,C3 C2,Kreutz,Dec30 2016-Jan01 2017
