PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES
2003-04-25.03,C/2003 H9 SOHO-598,X.-M. Xhou,C2,0.0048,8291
2000-12-05.76,C/2000 X4 SOHO-270,X.-M. Zhou,C2,0.0059,7562
2001-06-20.72,C/2001 M5 SOHO-333,X.-M. Zhou,C2,0.0052,7650
2001-09-08.80,C/2001 R4 SOHO-349,X.-M. Zhou,C2 C3,0.0072,7718
2001-10-23.91,C/2001 U9 SOHO-367,X.-M. Zhou,C2 C3,0.0050,7759
2001-11-11.67,C/2001 V3 SOHO-372,X.-M. Zhou,C2,0.0053,7764
2001-11-13.10,C/2001 V4 SOHO-373,X.-M. Zhou,C2,0.0051,7764
2001-11-22.72,C/2001 W3 SOHO-375,X.-M. Zhou,C2,0.0059,7764
2001-12-16.87,C/2001 Y2 SOHO-384,X.-M. Zhou,C2,0.0054,7797
2001-12-16.87,C/2001 Y3 SOHO-385,X.-M. Zhou,C2,0.0074,7797
2001-12-18.62,C/2001 Y4 SOHO-387,X.-M. Zhou,C2,0.0070,7797
2002-04-18.48,C/2002 H4 SOHO-427,X.-M. Zhou,C2,0.0052,7886
2002-04-19.38,C/2002 H5 SOHO-428,X.-M. Zhou,C2,0.0054,7886
2002-11-16.94,C/2002 W1 SOHO-545,X.-M. Zhou,C2,0.0069,8100
2002-11-23.12,C/2002 W8 SOHO-552,X.-M. Zhou,C2 C3,0.0073,8111
2002-11-25.48,C/2002 W11 SOHO-554,X.-M. Zhou,C2,0.0053,8263
2002-11-28.34,C/2002 W13 SOHO-557,X.-M. Zhou,C2,0.0050,8263
2002-12-01.72,C/2002 X7 SOHO-562,X.-M. Zhou,C2,0.0052,8264
2002-12-04.57,C/2002 X3 SOHO-565,X.-M. Zhou,C2,0.0052,8032 8039
2002-12-04.67,C/2002 X4 SOHO-566,X.-M. Zhou,C2,0.0052,8032 8039
2002-12-05.94,C/2002 X10 SOHO-569,X.-M. Zhou,C2,0.0050,8264
2002-12-10.01,C/2002 X12 SOHO-571,X.-M. Zhou,C2,0.0051,8264
2003-04-23.38,C/2003 H8 SOHO-597,X.-M. Zhou,C2,0.0050,8291
2003-06-20.90,C/2003 M7 SOHO-634,X.-M. Zhou,C2,0.0050,8327
2003-06-22.70,C/2003 M8 SOHO-635,X.-M. Zhou,C2,0.0054,8333
2003-06-23.51,C/2003 M9 SOHO-636,X.-M. Zhou,C2,0.0053,8333
2003-06-23.61,C/2003 M10 SOHO-637,X.-M. Zhou,C2,0.0058,8333
2003-07-25.18,C/2003 O6 SOHO-645,X.-M. Zhou,C3,0.0050,8334
2003-09-05.93,C/2003 R2 SOHO-660,X.-M. Zhou,C3,0.0050,8340
2003-10-10.06,C/2003 T9 SOHO-674,X.-M. Zhou,C2,0.0054,8341
2003-10-23.43,C/2003 U7 SOHO-681,X.-M. Zhou,C2,0.0051,8348
2003-11-16.91,C/2003 W3 SOHO-691,X.-M. Zhou,C2,0.0052,8356
2003-11-27.71,C/2003 W7 SOHO-695,X.-M. Zhou,C2,0.0049,8356
2003-12-02.70,C/2003 X3 SOHO-700,X.-M. Zhou,C2,0.0050,8356
2003-12-06.75,C/2003 X6 SOHO-703,X.-M. Zhou,C2,0.0049,8357
2003-12-08.94,C/2003 X9 SOHO-706,X.-M. Zhou,C2,0.0049,8357
2003-12-14.00,C/2003 X11 SOHO-708,X.-M. Zhou,C2,0.0050,8357
2003-12-29.14,C/2003 Y13 SOHO-721,X.-M. Zhou,C2 C3,0.0056,8358
2004-02-08.61,C/2004 C4 SOHO-737,X.-M.Zhou,C3,0.0052,8365
2004-02-26.24,C/2004 D3 SOHO-743,X.-M.Zhou,C3,0.0051,8365
2004-03-26.55,C/2004 F7 SOHO-751,X.-M.Zhou,C3/C2,0.0050,8366
2004-04-03.60,C/2004 G3 SOHO-752,X.-M.Zhou,C3/C2,0.0076,8366
2004-04-30.55,C/2004 H10 SOHO-765,X.-M.Zhou,C2,0.0051,8366
2004-05-09.12,C/2004 J7 SOHO-772,X.-M.Zhou,C2,0.0051,8366
2004-05-20.61,C/2004 K5 SOHO-785,X.-M.Zhou,C2,0.0052,8367
2004-05-28.17,C/2004 K11 SOHO-793,X.-M.Zhou,C2,0.0048,8367
2004-06-08.43,C/2004 L4 SOHO-796,X.-M.Zhou,C2,0.0056,8380
2004-06-08.65,C/2004 L5 SOHO-797,X.-M.Zhou,C2,0.0050,8380
2004-06-11.48,C/2004 L9 SOHO-801,X.-M.Zhou,C2,0.0051,8380
2004-07-01.65,C/2004 N1 SOHO-811,X.-M.Zhou,C2,0.0050,8394
2004-07-07.93,C/2004 N4 SOHO-814,X.-M.Zhou,C3,0.0076,8394
2004-07-09.85,C/2004 N6 SOHO-816,X.-M.Zhou,C3,0.0049,8394
2004-07-18.58,C/2004 O2 SOHO-820,X.-M.Zhou,C3,0.0058,8394
2004-07-18.71,C/2004 O1 SOHO-819,X.-M.Zhou,C3,0.0068,8394
2004-07-26.64,C/2004 O3 SOHO-821,X.-M.Zhou,C3,0.0051,8394
2004-05-06.56,C/2004 J5 SOHO-769,X.-M.Zhou & T.Hoffman,C2,0.0049,8366
