ID,Discoverer,comets
10,Boonplod W,673
101,Zhou B,381
91,Uchina M,373
95,Xu Z,301
44,Kracht R,271
84,Su H,208
46,Kusiak M,161
67,Oates M,144
87,Sun P,119
34,Hoffman T,117
53,Liwo S,108
57,Matson R,103
47,Leprette X,100
78,Schmalz S,94
70,Prestgard T,78
73,Ruan J,72
102,Zhou X M,65
11,Boschat M,60
74,Sachs J,54
7,Biesecker D,53
33,Hoenig S,43
62,Meyer M,40
5,Berrett P,37
82,Shurpakov S,30
42,Kida K,29
8,Biesiada M,27
89,Tan H,27
45,Kubczak A,26
76,Scarmato T,25
4,Battams K,22
14,Cernis K,21
21,Evans D,20
83,Stezelberger S,14
22,Farmer S Jr,13
19,Danaher J,11
54,Lovejoy T,11
64,Mulye S,11
77,Schenk K,11
98,Yuan S,11
103,Zu X,11
35,Hui M T,10
48,Lewis D,10
59,Maysonet P,10
3,Banach E,9
16,Chen T,9
61,McCarty B,9
86,Sun G,9
20,Deshmukh S,8
25,Godunov A,8
15,Chen D,7
40,Kaluzny M,7
60,Mazzucato M,7
68,Otterstedt H,7
97,Ye Q,7
6,Bezugly V,6
37,Jin Z,6
58,Mattiazzo M,6
30,Hammer D,5
79,Shanklin J,5
81,Shkreby P,5
92,Vourlidas A,5
24,Gao X,4
63,Mimeev A,4
66,Nakonechny K,4
72,Reszelewski R,4
94,Watson A,4
12,Cane L,3
13,Cao Z,3
18,Cyr C St,3
29,Gu W,3
41,Kanbi K El,3
49,Liang C,3
51,Liu L,3
23,Gallina G,2
26,Gorelli R,2
27,Gregory S,2
28,Gu S,2
31,Hanson D,2
36,Isaev E,2
56,Makkinen T,2
69,Pappa G,2
71,Renai S,2
80,Sharma P,2
90,Tsai Y S,2
96,Yang Z,2
100,Zheng Q,2
1,Ambrus A,1
2,Ball B,1
9,Biros R,1
17,Collison P,1
32,Harincar T,1
38,Jager M,1
39,Johnson D,1
43,Kotobuki,1
50,Lin C,1
52,Liu J,1
55,Luethen H,1
65,Nakano A,1
75,Sato H,1
85,Sufa A,1
88,Suzuki M,1
93,Wang B,1
99,Zhang J,1
104,Zhu J,1
