ID#,Report Date,MSG#,Discoverer(s),CAMS,Group,Images of...
73,Mar12 2016 02:00PM,2411,Z.Xu,H1A/C3 C2,Kreutz,Mar11-13 2016
78,Jan25 2017 02:36AM,2467,Z.Xu,H1A,Kreutz,Jan22-23 2017
82,Feb08 2017 06:12PM,2485,Z.Xu,H1A,Kreutz,Feb03 2017
83,Feb09 2017 05:29AM,2487,Z.Xu,H1A,Kreutz,Feb04 2017
92,Jan12 2018 10:17,2534,Z.Xu,HI-1,Kreutz,Jan09-10 2018
94,Jan16 2018 16:35,2540,Z.Xu,HI-1,Kreutz,Jan14 2018
97,Jan20 2018 04:08,2548,Z.Xu,HI-1,Kreutz,Jan17 2018
98,Jan21 2018 18:31,2549,Z.Xu,HI-1,Kreutz,Jan19 2018
99,Jan23 2018 19:20,2551,Z.Xu,HI-1,Kreutz,Jan21 2018
101,Jan29 2018 16:30,2566,Z.Xu,HI-1,Kreutz,Jan26 2018
102,Feb02 2018 17:46,2570,Z.Xu,HI-1,Kreutz,Jan30-31 2018
103,Feb06 2018 02:45,2571,Z.Xu,HI-1,Kreutz,Feb03-04 2018
