PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
1999-09-24.95,C/1999 S7 SOHO-89,K. Schenk,C3,0.0051,7383,V
1999-09-21.81,C/1999 S6 SOHO-88,K. Schenk,C3,0.0050,7383,V
1999-09-21.40,C/1999 S5 SOHO-87,K. Schenk,C3,0.0050,7383,V
1999-09-06.08,C/1999 R3 SOHO-83,K. Schenk,C3,0.0053,7376,V
1999-08-25.10,C/1999 Q2 SOHO-81,K. Schenk,C3,0.0050,7376,V
1999-08-06.17,C/1999 P2 SOHO-77,K. Schenk,C3,0.0049,7234,V
1998-06-02.06,C/1998 K11 SOHO-55,K. Schenk,C2 C3,0.0050,6952,V
1998-06-01.88,C/1998 K10 SOHO-54,K. Schenk,C2 C3,0.0058,6952,V
1998-04-11.46,C/1998 G4 SOHO-47,K. Schenk,C2 C3,0.0092,6952,V
1997-08-24.12,C/1997 Q2 SOHO-25,K. Schenk,C2 C3,0.0048,6733,V
