PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
-2011,C/2011 SOHO-2027,H.Su,C3,  ,,
-2010,C/2010 SOHO-1825,H.Su,C2 C3,  ,,
-2010,C/2010 SOHO-1814,H.Su,C2 C3,  ,,
2009-04-07.32,C/2009 G05 SOHO-1628,H.Su,C2,0.0051,,
2009-04-02.40,C/2009 G02 SOHO-1625,H.Su,C2,0.0051,,
2009-03-29.15,C/2009 F09 SOHO-1623,H.Su,C2 C3,0.0075,,
2009-01-03.216,C/2009 A05 SOHO-1601,H.Su,C3,0.00749,,
2009-01-02.764,C/2009 A04 SOHO-1600,H.Su,C3,0.00469,,
2009-01-02.250,C/2009 A03 SOHO-1599,H.Su,C2 C3,0.00460,,
2009-01-01.63,C/2009 A02 SOHO-1598,H.Su,C3,0.0076,,
2008-11-23.90,C/2008 W04 SOHO-1569,H.Su,C2,0.0052,,
2008-10-25.40,C/2008 U11 SOHO-1553,H.Su,C2 C3,0.0056,,
2008-10-21.98,C/2008 U09 SOHO-1551,H.Su,C2,0.0050,,
2008-10-14.32,C/2008 T11 SOHO-1542,H.Su,C2 C3,0.0048,,
2008-09-15.12,C/2008 R13 SOHO-1530,H.Su,C2 C3,0.0052,,
2008-08-02.49,C/2008 P02 SOHO-1518,H.Su,C3,0.0048,,
2008-08-01.67,C/2008 O01 SOHO-1517,H.Su,C3,0.0047 (0.0048),,
2008-07-13.20,C/2008 N11 SOHO-1512,H.Su,C3,0.0076,,
2008-07-06.24,C/2008 N06 SOHO-1507,H.Su,C2 C3,0.0076,,
2008-06-24.24,C/2008 M03 SOHO-1498,H.Su,C2,0.0049,,
2008-06-07.68,C/2008 L05 SOHO-1485,H.Su,C2,0.0047,,
2008-05-26.21,C/2008 K6 SOHO-1478,H.Su,C2 C3,0.0080,,
2008-05-02.08,C/2008 J07 SOHO-1462,H.Su,C2,0.0085,,
2008-04-26.13,C/2008 H05 SOHO-1458,H.Su,C3,0.0048,,
2008-04-22.09,C/2008 H09 SOHO-1465,H.Su,C2,0.0050,,
2008-04-17.01,C/2008 H02 SOHO-1455,H.Su,C2,0.0054,,
2008-04-02.31,C/2008 G03 SOHO-1451,H.Su,C2,0.0050,,
2008-03-07.767,C/2008 E08 SOHO-1448,H.Su,C3 HI1A,0.00648,,
2008-02-19.59,C/2008 D05 SOHO-1441,H.Su,C3 HI1A,0.0049,,
2008-02-09.900,C/2008 C07 SOHO-1438,H.Su,C3 HI1A,0.00425,,
2008-02-04.433,C/2008 C04 SOHO-1435,H.Su,C3 HI1A,0.00959,,
2008-01-29.34,C/2008 B03 SOHO-1432,H.Su,C3,0.0050,,
2008-01-26.83,C/2008 B01 SOHO-1430,H.Su,C3,0.0071,,
2007-12-27.02,C/2007 Y07 SOHO-1425,H.Su,C2,0.0049,,
2007-12-15.82,C/2007 X15 SOHO-1420,H.Su,C2,0.0087,,
2007-12-08.77,C/2007 X05 SOHO-1410,H.Su,C2 C3,0.0050,,
2007-12-06.58,C/2007 X04 SOHO-1409,H.Su,C2 C3 HI1B,0.0051,,
2007-12-05.10,C/2007 X02 SOHO-1407,H.Su,C2,0.0077,,
2007-12-01.29,C/2007 W12 SOHO-1405,H.Su,C2,0.0071,,
2007-11-24.15,C/2007 W08 SOHO-1401,H.Su,C2,0.0080,,
2007-11-23.55,C/2007 W10 SOHO-1402,H.Su&M.Kusiak,C2,0.0062,,
2007-11-19.76,C/2007 W05 SOHO-1398,H.Su,C2,0.0052,,
2007-11-12.20,C/2007 V11 SOHO-1393,H.Su,C2 C3 HI1B COR2A COR2B,0.0048,,
2007-11-06.51,C/2007 V08 SOHO-1391,H.Su,C2,0.0049,,
2007-11-05.03,C/2007 V06 SOHO-1388,H.Su,C2,0.0051,,
2007-10-29.40,C/2007 U11 SOHO-1382,H.Su,C2,0.0052,,
2007-10-29.27,C/2007 U10 SOHO-1381,H.Su,C2 C3 HI1B,0.0050,,
2007-10-28.69,C/2007 U09 SOHO-1380,H.Su,C2 C3,0.0049,,
2007-10-28.35,C/2007 U08 SOHO-1378,H.Su,C2 C3 HI1B,0.0049,,
2007-10-24.99,C/2007 U03 SOHO-1374,H.Su,C2,0.0052,,
