Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3260,Jan05 2017 02:36:08,Z.Xu,H1/C2,Kreutz,Jan04-05 2017
3265,Jan19 2017 10:39:48,Z.Xu,H1/C3,Kreutz,Jan18-19 2017
3266,Jan21 2017 10:40:10,Z.Xu,H1/C3,Kreutz,Jan20-22 2017
3267,Jan26 2017 06:10:31,Z.Xu,H1/C3,Kreutz,Jan25-26 2017
3273,Feb25 2017 13:25:53,Z.Xu,H1/C3,Kreutz,Feb25 2017
3274,Feb27 2017 11:01:34,Z.Xu,H1/C3,Kreutz,Feb27 2017
3282,Mar25 2017 21:12:08,Z.Xu,C3 C2,Kreutz,Mar25 2017
3284,Mar29 2017 06:38:19,Z.Xu,H1/C3 C2,Kreutz,Mar29 2017
3286,Apr04 2017 12:28:26,Z.Xu,C3 C2,Kreutz,Apr04-05 2017
3298,Apr16 2017 11:50:44,Z.Xu,C2,Kreutz,Apr16 2017
3309,Apr26 2017 21:36:24,Z.Xu,C2,Kreutz,Apr16-17 2017
3312,Apr29 2017 20:39:08,Z.Xu,C2,Kreutz,Apr29-30 2017
3378,Jul25 2017 10:57:11,Z.Xu,C3,Kreutz,Jul25 2017
3387,Aug10 2017 02:54:51,Z.Xu,C3,Kreutz,Aug10 2017
3389,Aug16 2017 03:32:14,Z.Xu,C3,Kreutz,Aug16 2017
3404,Sep06 2017 08:51:45,Z.Xu,C3,Kreutz,Sep06 2017
3418,Oct06 2017 13:51:31,Z.Xu,C3 C2,Kreutz,Oct006-07 2017
3428,Oct15 2017 22:47:28,Z.Xu,C2,Kreutz,Oct15 2017
3436,Oct26 2017 02:13:41,Z.Xu,C2,Kreutz,Oct26 2017
3467,Oct06 2017 21:17:22,Z.Xu,C3,Kreutz,Oct06 2017
3473,Dec06 2017 07:58:37,Z.Xu,C2,Meyer,Dec06 2017
3484,Dec28 2017 03:07:48,Z.Xu,H1 C3 C2,Kreutz,Dec27-29 2017
