PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE
2006-08-03.84,C/2006 P4 SOHO-1182,S.Yuan,C2 C3,0.0050
2006-12-18.43,C/2006 Y3 SOHO-1238,S.Yuan,C2 C3,0.0077
2007-05-14.64,C/2007 J09 SOHO-1299,S.Yuan,C2 C3,0.0060
2007-06-08.23,C/2007 L03 SOHO-1319,S.Yuan,C2 C3 COR2A COR2B,0.0071
2007-08-18.18,C/2007 Q05 SOHO-1347,S.Yuan,C3 HI1B,0.0059
2007-11-11.53,C/2007 V12 SOHO-1394,S.Yuan,C2,0.0076
2007-12-21.47,C/2007 Y03 SOHO-1421,S.Yuan,C2,0.0049
2007-12-26.65,C/2007 Y06 SOHO-1424,S.Yuan,C2,0.0099
2008-12-06.13,C/2008 X11 SOHO-1580,S.Yuan,C2 C3,0.0074
2007-08-29.83,C/2007 Q09 SOHO-1351,S.Yuan& J.Sachs,C3 HI1B,0.0051
