Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3486,Jan03 2018 10:00pm,Z.Xu,H1 C3 C2,Kreutz,Jan03-04 2018
3489,Feb05 2018 01:53:58,Z.Xu,H1 C3,Kreutz,Feb04-05 2018
3492,Feb07 2018 09:51:14,Z.Xu,H1 C3 C2,Kreutz,Feb05-09 2018
3498,Feb22 2018 00:53:42,Z.Xu,H1 C3,Kreutz,Feb21-22 2018
3509,Mar20 2018 02:33:53,Z.Xu,C3 C2,Kreutz,Mar20 2018
3579,Jul24 2018 03:01:09,Z.Xu,C3,Kreutz,Jul24 2018
3588,Aug28 2018 12:08:28,Z.Xu,C3,Kreutz,Aug28 2018
3596,Sep05 2018 13:18:56,Z.Xu,C3,Kreutz,Sep05 2018
3598,Sep12 2018 02:45:00,Z.Xu,C3 C2,Kreutz,Sep11-12 2018
3601,Sep19 2018 13:15:39,Z.Xu,C3 C2,Kreutz,Sep19-20 2018
