ID,Discoverer,comets
9,Boonplod W,625
99,Zhou B,381
89,Uchina M,353
93,Xu Z,300
43,Kracht R,271
82,Su H,208
45,Kusiak M,159
65,Oates M,144
33,Hoffman T,117
85,Sun P,107
51,Liwo S,106
55,Matson R,103
46,Leprette X,100
76,Schmalz S,94
68,Prestgard T,77
71,Ruan J,72
100,Zhou X M,65
10,Boschat M,60
72,Sachs J,54
7,Biesecker D,53
32,Hoenig S,43
60,Meyer M,40
41,Kida K,28
5,Berrett P,27
80,Shurpakov S,27
87,Tan H,27
44,Kubczak A,26
74,Scarmato T,25
4,Battams K,22
13,Cernis K,21
20,Evans D,20
81,Stezelberger S,14
21,Farmer S Jr,13
18,Danaher J,11
52,Lovejoy T,11
62,Mulye S,11
75,Schenk K,11
96,Yuan S,11
101,Zu X,11
34,Hui M T,10
47,Lewis D,10
57,Maysonet P,10
3,Banach E,9
8,Biesiada M,9
15,Chen T,9
59,McCarty B,9
84,Sun G,9
19,Deshmukh S,8
24,Godunov A,8
14,Chen D,7
39,Kaluzny M,7
58,Mazzucato M,7
66,Otterstedt H,7
95,Ye Q,7
6,Bezugly V,6
36,Jin Z,6
56,Mattiazzo M,6
29,Hammer D,5
77,Shanklin J,5
79,Shkreby P,5
90,Vourlidas A,5
23,Gao X,4
61,Mimeev A,4
64,Nakonechny K,4
70,Reszelewski R,4
92,Watson A,4
11,Cane L,3
12,Cao Z,3
17,Cyr C St,3
28,Gu W,3
40,Kanbi K El,3
48,Liang C,3
50,Liu L,3
22,Gallina G,2
25,Gorelli R,2
26,Gregory S,2
27,Gu S,2
30,Hanson D,2
35,Isaev E,2
54,Makkinen T,2
67,Pappa G,2
69,Renai S,2
78,Sharma P,2
88,Tsai Y S,2
94,Yang Z,2
98,Zheng Q,2
1,Ambrus A,1
2,Ball B,1
16,Collison P,1
31,Harincar T,1
37,Jager M,1
38,Johnson D,1
42,Kotobuki,1
49,Lin C,1
53,Luethen H,1
63,Nakano A,1
73,Sato H,1
83,Sufa A,1
86,Suzuki M,1
91,Wang B,1
97,Zhang J,1
102,Zhu J,1
