ID,Discoverer,comets
9,Boonplod W,601
85,Uchina M,340
95,Zhou B,334
89,Xu Z,260
79,Su H,180
44,Kusiak M,150
42,Kracht R,145
63,Oates M,136
33,Hoffman T,100
82,Sun P,100
45,Leprette X,94
50,Liwo S,94
53,Matson R,90
73,Schmalz S,85
66,Prestgard T,76
69,Ruan J,63
10,Boschat M,60
96,Zhou X M,57
7,Biesecker D,52
70,Sachs J,52
32,Hoenig S,42
58,Meyer M,36
5,Berrett P,27
83,Tan H,25
40,Kida K,24
77,Shurpakov S,24
43,Kubczak A,22
71,Scarmato T,22
20,Evans D,20
4,Battams K,18
13,Cernis K,17
21,Farmer S Jr,12
60,Mulye S,11
78,Stezelberger S,11
97,Zu X,11
34,Hui M T,10
46,Lewis D,10
51,Lovejoy T,10
72,Schenk K,10
92,Yuan S,10
15,Chen T,9
18,Danaher J,9
57,McCarty B,9
81,Sun G,9
3,Banach E,8
19,Deshmukh S,8
24,Godunov A,8
55,Maysonet P,8
8,Biesiada M,7
38,Kaluzny M,7
56,Mazzucato M,7
91,Ye Q,7
14,Chen D,6
6,Bezugly V,5
29,Hammer D,5
36,Jin Z,5
76,Shkreby P,5
86,Vourlidas A,5
23,Gao X,4
62,Nakonechny K,4
68,Reszelewski R,4
74,Shanklin J,4
12,Cao Z,3
17,Cyr C St,3
28,Gu W,3
39,Kanbi K El,3
47,Liang C,3
59,Mimeev A,3
64,Otterstedt H,3
88,Watson A,3
11,Cane L,2
22,Gallina G,2
25,Gorelli R,2
27,Gu S,2
30,Hanson D,2
35,Isaev E,2
49,Liu L,2
65,Pappa G,2
67,Renai S,2
75,Sharma P,2
84,Tsai Y S,2
94,Zheng Q,2
1,Ambrus A,1
2,Ball B,1
16,Collison P,1
26,Gregory S,1
31,Harincar T,1
37,Johnson D,1
41,Kotobuki,1
48,Lin C,1
52,Luethen H,1
54,Mattiazzo M,1
61,Nakano A,1
80,Sufa A,1
87,Wang B,1
90,Yang Z,1
93,Zhang J,1
