ID,Discoverer,comets
1,Ambrus A,1
2,Ball B,1
3,Banach E,8
4,Battams K,18
5,Berrett P,27
6,Bezugly V,5
7,Biesecker D,52
8,Biesiada M,7
9,Boonplod W,601
10,Boschat M,60
11,Cane L,2
12,Cao Z,3
13,Cernis K,17
14,Chen D,6
15,Chen T,9
16,Collison P,1
17,Cyr C St,3
18,Danaher J,9
19,Deshmukh S,8
20,Evans D,20
21,Farmer S Jr,12
22,Gallina G,2
23,Gao X,4
24,Godunov A,8
25,Gorelli R,2
26,Gregory S,1
27,Gu S,2
28,Gu W,3
29,Hammer D,5
30,Hanson D,2
31,Harincar T,1
32,Hoenig S,42
33,Hoffman T,100
34,Hui M T,10
35,Isaev E,2
36,Jin Z,5
37,Johnson D,1
38,Kaluzny M,
39,Kanbi K El,
40,Kida K,
41,Kotobuki,
42,Kracht R,
43,Kubczak A,
44,Kusiak M,
45,Leprette X,
46,Lewis D,
47,Liang C,
48,Lin C,
49,Liu L,
50,Liwo S,
51,Lovejoy T,
52,Luethen H,
53,Matson R,
54,Mattiazzo M,
55,Maysonet P,
56,Mazzucato M,
57,McCarty B,
58,Meyer M,
59,Mimeev A,
60,Mulye S,
61,Nakano A,
62,Nakonechny K,
63,Oates M,
64,Otterstedt H,
65,Pappa G,
66,Prestgard T,
67,Renai S,
68,Reszelewski R,
69,Ruan J,
70,Sachs J,
71,Scarmato T,
72,Schenk K,
73,Schmalz S,
74,Shanklin J,
75,Sharma P,
76,Shkreby P,
77,Shurpakov S,
78,Stezelberger S,
79,Su H,
80,Sufa A,
81,Sun G,
82,Sun P,
83,Tan H,
84,Tsai Y S,
85,Uchina M,
86,Vourlidas A,
87,Wang B,
88,Watson A,
89,Xu Z,
90,Yang Z,
91,Ye Q,
92,Yuan S,
93,Zhang J,
94,Zheng Q,
95,Zhou B,
96,Zhou X M,
97,Zu X,
